Date,Dividends
2010-01-13,0.4
2010-04-13,0.44
2010-07-13,0.44
2010-10-13,0.44
2011-01-12,0.44
2011-04-13,0.48
2011-07-13,0.48
2011-10-12,0.48
2012-01-11,0.48
2012-04-11,0.51
2012-07-11,0.51
2012-10-11,0.51
2013-01-11,0.14
2013-04-11,0.14
2013-07-11,0.14
2013-10-10,0.14
2014-01-13,0.22
2014-04-11,0.22
2014-07-11,0.22
2014-10-10,0.22
2015-01-13,0.24
2015-04-13,0.24
2015-07-13,0.24
2015-10-13,0.24
2016-01-13,0.26
2016-04-13,0.26
2016-07-13,0.26
2016-10-12,0.26
2017-01-11,0.265
2017-04-11,0.265
2017-07-12,0.265
2017-10-12,0.265
2018-01-11,0.28
2018-04-12,0.28
2018-07-12,0.28
2018-10-12,0.28
2019-01-14,0.32
2019-04-12,0.32
2019-07-12,0.32
2019-10-11,0.32
2020-01-14,0.36
2020-04-14,0.36
2020-07-14,0.36
2020-10-14,0.36
