,Date,Dividends
0,2010-03-30,0.49
1,2010-06-29,0.49
2,2010-09-29,0.49
3,2010-12-30,0.49
4,2011-03-30,0.58
5,2011-06-29,0.58
6,2011-09-29,0.58
7,2011-12-29,0.58
8,2012-03-29,0.64
9,2012-06-28,0.64
10,2012-09-27,0.64
11,2012-12-28,0.64
12,2013-03-27,0.71
13,2013-06-27,0.71
14,2013-09-27,0.71
15,2013-12-30,0.71
16,2014-03-28,0.77
17,2014-06-27,0.77
18,2014-09-29,0.77
19,2014-12-30,0.77
20,2015-03-30,0.81
21,2015-06-29,0.81
22,2015-09-29,0.81
23,2015-12-30,0.81
24,2016-03-30,0.86
25,2016-06-29,0.86
26,2016-10-06,0.86
27,2016-12-29,0.86
28,2017-03-30,0.95
29,2017-06-29,0.95
30,2017-10-06,0.95
31,2017-10-09,0.95
32,2017-12-29,0.95
33,2018-03-29,1.1
34,2018-06-29,1.1
35,2018-09-28,1.1
36,2018-12-31,1.1
37,2019-03-29,1.16
38,2019-06-28,1.16
39,2019-09-30,1.16
40,2019-12-31,1.16
41,2020-03-31,1.34
42,2020-06-30,1.34
43,2020-09-30,1.34
44,2020-12-31,1.34
