,Date,Dividends
0,2010-02-01,0.03875
1,2010-05-03,0.03875
2,2010-08-02,0.03875
3,2010-11-01,0.04
4,2011-01-31,0.04
5,2011-05-02,0.04
6,2011-08-08,0.04
7,2011-10-31,0.0425
8,2012-01-30,0.0425
9,2012-05-02,0.0425
10,2012-08-06,0.0425
11,2012-11-05,0.045
12,2013-01-28,0.045
13,2013-04-29,0.045
14,2013-08-05,0.045
15,2013-10-28,0.05
16,2014-02-03,0.05
17,2014-05-02,0.05
18,2014-08-06,0.05
19,2014-10-29,0.055
20,2015-02-02,0.055
21,2015-04-30,0.055
22,2015-08-05,0.055
23,2015-11-02,0.06125
24,2016-02-01,0.06125
25,2016-05-05,0.06125
26,2016-08-05,0.06125
27,2016-10-26,0.0675
28,2017-02-01,0.0675
29,2017-05-04,0.0675
30,2017-08-07,0.0675
31,2017-10-26,0.075
32,2018-02-01,0.075
33,2018-05-08,0.075
34,2018-08-07,0.075
35,2018-10-25,0.08
36,2019-02-05,0.08
37,2019-05-07,0.08
38,2019-08-06,0.08
39,2019-11-07,0.085
40,2020-02-04,0.085
41,2020-05-08,0.085
42,2020-08-04,0.085
43,2020-11-03,0.0925
