,Date,Dividends
0,2010-03-11,0.22
1,2010-06-11,0.24
2,2010-09-13,0.24
3,2010-12-13,0.24
4,2011-03-11,0.24
5,2011-06-13,0.24
6,2011-09-13,0.26
7,2011-12-13,0.26
8,2012-03-13,0.26
9,2012-06-13,0.26
10,2012-09-12,0.27
11,2012-12-12,0.27
12,2013-03-13,0.27
13,2013-06-12,0.27
14,2013-09-12,0.28
15,2013-12-12,0.28
16,2014-03-12,0.28
17,2014-06-12,0.28
18,2014-09-11,0.3
19,2014-12-11,0.3
20,2015-03-12,0.3
21,2015-06-11,0.3
22,2015-09-11,0.31
23,2015-12-11,0.31
24,2016-03-11,0.31
25,2016-06-13,0.31
26,2016-08-10,0.5
27,2016-09-13,0.32
28,2016-12-13,0.32
29,2017-03-13,0.32
30,2017-06-13,0.32
31,2017-09-14,0.34
32,2017-12-14,0.34
33,2018-03-14,0.34
34,2018-06-14,0.34
35,2018-09-13,0.38
36,2018-12-13,0.38
37,2019-03-14,0.38
38,2019-06-13,0.38
39,2019-09-13,0.41
40,2019-12-12,0.41
41,2020-03-13,0.41
42,2020-06-12,0.41
43,2020-09-14,0.42
44,2020-12-11,0.42
