Date,Dividends
1993-06-24,0.0333
1993-09-02,0.0766
1993-09-24,0.0333
1993-12-27,0.0333
1994-03-25,0.0333
1994-06-24,0.0366
1994-09-26,0.0366
1994-12-23,0.0367
1995-03-27,0.0367
1995-06-28,0.0467
1995-09-27,0.0467
1995-12-27,0.0467
1996-03-27,0.0467
1996-06-12,0.06
1996-09-26,0.06
1996-12-27,0.06
1997-03-26,0.06
1997-06-26,0.0733
1997-09-26,0.0733
1997-12-10,0.08
1998-03-27,0.08
1998-06-26,0.09
1998-09-28,0.09
1998-12-11,0.09
1999-03-29,0.09
1999-06-28,0.11
1999-09-28,0.11
1999-12-29,0.11
2000-03-29,0.11
2000-06-28,0.13
2000-09-27,0.13
2000-12-27,0.13
2001-03-28,0.13
2001-06-27,0.15
2001-09-26,0.15
2001-12-27,0.15
2002-03-26,0.15
2002-06-26,0.17
2002-09-25,0.17
2002-12-24,0.17
2003-03-27,0.17
2003-06-26,0.19
2003-09-26,0.19
2003-12-29,0.19
2004-03-29,0.19
2004-06-28,0.21
2004-09-28,0.21
2004-12-29,0.21
2005-03-29,0.21
2005-06-28,0.23
2005-09-28,0.23
2005-12-28,0.23
2006-03-29,0.23
2006-06-28,0.25
2006-09-27,0.25
2006-12-27,0.25
2007-03-28,0.25
2007-06-27,0.27
2007-09-26,0.27
2007-12-27,0.27
2008-03-27,0.27
2008-06-26,0.29
2008-10-09,0.26
2008-10-14,0.26
2009-01-06,0.27
2009-03-27,0.26
2009-07-24,0.31
2009-09-29,0.31
2009-12-15,0.31
2010-03-29,0.31
2010-07-23,0.33
2010-09-29,0.33
2010-12-14,0.33
2011-03-30,0.33
2011-06-28,0.35
2011-09-28,0.35
2012-01-10,0.47
2012-03-28,0.47
2012-07-27,0.49
2012-09-26,0.49
2012-12-13,0.49
2013-03-26,0.49
2013-07-19,0.51
2013-09-26,0.51
2014-01-09,0.63
2014-01-13,0.63
2014-03-26,0.63
2014-07-21,0.65
2014-09-26,0.65
2014-12-15,0.65
2015-03-27,0.65
2015-06-26,0.67
2015-09-28,0.67
2015-12-29,0.67
2016-03-29,0.67
2016-06-28,0.69
2016-09-28,0.69
2016-12-28,0.69
2017-03-29,0.69
2017-06-28,0.71
2017-09-28,0.71
2017-12-28,0.71
2018-03-28,0.71
2018-06-21,0.73
2018-09-20,0.73
2018-12-20,0.73
2019-03-21,0.73
2019-06-20,0.75
2019-09-19,0.75
2019-12-19,0.75
2020-03-19,0.75
2020-06-18,0.78
2020-09-17,0.78
2020-12-17,0.78
2021-03-18,0.78
2021-06-17,0.8
2021-09-16,0.8
2021-12-16,0.8
2022-03-17,0.8
