,Date,Dividends
0,2010-02-25,0.43
1,2010-05-27,0.45
2,2010-08-30,0.45
3,2010-11-29,0.45
4,2011-02-25,0.45
5,2011-05-27,0.46
6,2011-08-30,0.46
7,2011-11-29,0.46
8,2012-02-28,0.46
9,2012-05-30,0.48
10,2012-08-29,0.48
11,2012-11-28,0.48
12,2013-02-27,0.48
13,2013-05-29,0.5
14,2013-08-28,0.5
15,2013-11-26,0.5
16,2014-02-26,0.5
17,2014-05-28,0.51
18,2014-08-27,0.51
19,2014-11-25,0.51
20,2015-02-25,0.51
21,2015-05-27,0.53
22,2015-08-27,0.53
23,2015-11-25,0.53
24,2016-02-25,0.53
25,2016-05-26,0.54
26,2016-08-29,0.54
27,2016-11-28,0.54
28,2017-02-24,0.54
29,2017-05-26,0.57
30,2017-08-29,0.57
31,2017-11-29,0.57
32,2018-02-27,0.57
33,2018-05-30,0.67
34,2018-08-30,0.67
35,2018-11-29,0.67
36,2019-02-27,0.67
37,2019-05-30,0.71
38,2019-08-29,0.71
39,2019-11-27,0.71
40,2020-02-27,0.71
41,2020-05-28,0.71
42,2020-08-28,0.71
43,2020-11-27,0.72
