,Date,Dividends
0,2010-01-21,0.22
1,2010-04-22,0.265
2,2010-07-22,0.265
3,2010-10-21,0.265
4,2011-01-21,0.265
5,2011-04-21,0.29
6,2011-07-22,0.29
7,2011-10-21,0.29
8,2012-01-20,0.29
9,2012-04-20,0.31
10,2012-07-20,0.31
11,2012-10-19,0.31
12,2013-01-22,0.31
13,2013-04-19,0.34
14,2013-07-19,0.34
15,2013-10-18,0.34
16,2014-01-22,0.34
17,2014-04-17,0.36
18,2014-07-16,0.36
19,2014-10-15,0.36
20,2015-01-21,0.36
21,2015-04-21,0.38
22,2015-07-21,0.38
23,2015-10-21,0.38
24,2016-01-21,0.38
25,2016-04-20,0.39
26,2016-07-20,0.39
27,2016-10-20,0.39
28,2017-01-19,0.39
29,2017-04-19,0.4
30,2017-07-14,0.4
31,2017-10-20,0.4
32,2018-01-22,0.4
33,2018-04-19,0.42
34,2018-07-17,0.42
35,2018-10-18,0.42
36,2019-01-22,0.42
37,2019-04-17,0.43
38,2019-07-17,0.43
39,2019-10-22,0.43
40,2020-01-22,0.43
41,2020-04-17,0.44
42,2020-07-17,0.44
43,2020-10-22,0.44
