,Date,Dividends
0,2010-02-12,0.68
1,2010-05-17,0.72
2,2010-08-17,0.72
3,2010-11-16,0.72
4,2011-02-14,0.72
5,2011-05-17,0.78
6,2011-08-17,0.78
7,2011-11-16,0.81
8,2012-02-15,0.81
9,2012-05-16,0.9
10,2012-08-15,0.9
11,2012-11-14,0.9
12,2013-02-13,0.9
13,2013-05-15,1.0
14,2013-08-15,1.0
15,2013-11-14,1.0
16,2014-02-12,1.0
17,2014-05-15,1.07
18,2014-08-15,1.07
19,2014-11-14,1.07
20,2015-02-12,1.07
21,2015-05-15,1.07
22,2015-08-17,1.07
23,2015-11-16,1.07
24,2016-02-16,1.07
25,2016-05-17,1.07
26,2016-08-17,1.07
27,2016-11-16,1.08
28,2017-02-14,1.08
29,2017-05-17,1.08
30,2017-08-16,1.08
31,2017-11-16,1.08
32,2018-02-15,1.12
33,2018-05-17,1.12
34,2018-08-16,1.12
35,2018-11-15,1.12
36,2019-02-14,1.19
37,2019-05-16,1.19
38,2019-08-16,1.19
39,2019-11-15,1.19
40,2020-02-14,1.29
41,2020-05-18,1.29
42,2020-08-18,1.29
43,2020-11-17,1.29
