,Date,Dividends
0,2010-05-27,0.2
1,2010-11-29,0.2
2,2010-11-29,0.2
3,2010-11-29,0.2
4,2011-05-27,0.25
5,2011-11-29,0.25
6,2011-11-29,0.25
7,2011-11-29,0.25
8,2012-05-30,0.28
9,2012-11-29,0.28
10,2012-11-29,0.28
11,2012-11-29,0.28
12,2013-05-30,0.3
13,2013-11-27,0.3
14,2013-11-27,0.3
15,2013-11-27,0.3
16,2014-05-29,0.32
17,2014-11-26,0.32
18,2014-11-26,0.32
19,2014-11-26,0.32
20,2015-05-28,0.36
21,2015-11-27,0.36
22,2015-11-27,0.36
23,2015-11-27,0.36
24,2016-05-27,0.4
25,2016-11-29,0.4
26,2016-11-29,0.4
27,2016-11-29,0.4
28,2017-05-30,0.42
29,2017-11-30,0.42
30,2017-11-30,0.42
31,2017-11-30,0.42
32,2018-05-31,0.45
33,2018-11-30,0.45
34,2018-11-30,0.45
35,2018-11-30,0.45
36,2019-05-31,0.5
37,2019-11-29,0.5
38,2019-11-29,0.5
39,2019-11-29,0.5
40,2020-05-29,0.52
41,2020-11-30,0.52
42,2020-11-30,0.52
43,2020-11-30,0.52
