,Date,Dividends
0,2010-01-20,0.0525
1,2010-04-14,0.0525
2,2010-07-21,0.0525
3,2010-10-20,0.0525
4,2011-01-19,0.06375
5,2011-04-19,0.06375
6,2011-07-20,0.06375
7,2011-10-19,0.06375
8,2012-01-19,0.075
9,2012-04-19,0.075
10,2012-07-19,0.075
11,2012-10-18,0.075
12,2013-01-17,0.085
13,2013-04-18,0.085
14,2013-07-18,0.085
15,2013-10-17,0.085
16,2014-01-17,0.1
17,2014-04-16,0.1
18,2014-07-17,0.1
19,2014-10-16,0.1
20,2015-01-15,0.125
21,2015-04-16,0.125
22,2015-07-16,0.125
23,2015-10-15,0.125
24,2016-01-14,0.145
25,2016-04-14,0.145
26,2016-07-14,0.145
27,2016-10-20,0.145
28,2017-01-12,0.17
29,2017-04-13,0.17
30,2017-07-13,0.17
31,2017-10-20,0.17
32,2018-01-11,0.188
33,2018-01-12,0.1875
34,2018-04-13,0.1875
35,2018-07-13,0.1875
36,2018-10-19,0.1875
37,2019-01-11,0.21
38,2019-04-12,0.21
39,2019-07-12,0.21
40,2019-10-18,0.21
41,2020-01-10,0.2325
42,2020-04-09,0.2325
43,2020-07-10,0.2325
44,2020-10-16,0.2325
