,Date,Dividends
0,2010-02-08,0.55
1,2010-05-06,0.65
2,2010-08-06,0.65
3,2010-11-08,0.65
4,2011-02-08,0.65
5,2011-05-06,0.75
6,2011-08-08,0.75
7,2011-11-08,0.75
8,2012-02-08,0.75
9,2012-05-08,0.85
10,2012-08-08,0.85
11,2012-11-07,0.85
12,2013-02-06,0.85
13,2013-05-08,0.95
14,2013-08-07,0.95
15,2013-11-06,0.95
16,2014-02-06,0.95
17,2014-05-07,1.1
18,2014-08-06,1.1
19,2014-11-06,1.1
20,2015-02-06,1.1
21,2015-05-06,1.3
22,2015-08-06,1.3
23,2015-11-06,1.3
24,2016-02-08,1.3
25,2016-05-06,1.4
26,2016-08-08,1.4
27,2016-11-08,1.4
28,2017-02-08,1.4
29,2017-05-08,1.5
30,2017-08-08,1.5
31,2017-11-09,1.5
32,2018-02-08,1.5
33,2018-05-09,1.57
34,2018-08-09,1.57
35,2018-11-08,1.57
36,2019-02-07,1.57
37,2019-05-09,1.62
38,2019-08-08,1.62
39,2019-11-07,1.62
40,2020-02-07,1.62
41,2020-05-07,1.63
42,2020-08-07,1.63
43,2020-11-09,1.63
