,Date,Dividends
0,2010-02-22,0.095
1,2010-05-13,0.095
2,2010-09-02,0.095
3,2010-11-30,0.095
4,2011-02-17,0.105
5,2011-05-18,0.105
6,2011-09-06,0.105
7,2011-11-30,0.105
8,2012-02-16,0.115
9,2012-05-17,0.115
10,2012-09-05,0.115
11,2012-11-29,0.115
12,2013-02-22,0.13
13,2013-05-15,0.2
14,2013-09-04,0.2
15,2013-11-27,0.2
16,2014-02-24,0.22
17,2014-05-15,0.22
18,2014-09-03,0.22
19,2014-11-28,0.22
20,2015-02-27,0.25
21,2015-05-21,0.25
22,2015-09-02,0.25
23,2015-11-27,0.25
24,2016-02-29,0.28
25,2016-05-23,0.28
26,2016-09-02,0.28
27,2016-11-29,0.28
28,2017-02-28,0.31
29,2017-05-22,0.31
30,2017-09-07,0.31
31,2017-11-29,0.31
32,2018-02-28,0.37
33,2018-05-22,0.37
34,2018-09-10,0.37
35,2018-11-30,0.37
36,2019-02-28,0.4
37,2019-05-22,0.4
38,2019-09-06,0.4
39,2019-11-29,0.4
40,2020-02-28,0.43
41,2020-05-27,0.43
42,2020-09-08,0.43
43,2020-12-01,0.43
