,Date,Dividends
0,2010-03-03,0.66
1,2010-06-02,0.66
2,2010-09-08,0.66
3,2010-12-08,0.66
4,2011-03-02,0.7
5,2011-06-08,0.7
6,2011-09-07,0.7
7,2011-12-07,0.7
8,2012-03-07,0.74
9,2012-06-06,0.74
10,2012-09-05,0.74
11,2012-12-05,0.74
12,2013-03-06,0.81
13,2013-06-05,0.81
14,2013-09-04,0.81
15,2013-12-04,0.81
16,2014-03-05,0.84
17,2014-06-04,0.84
18,2014-09-03,0.84
19,2014-12-03,0.84
20,2015-03-04,0.88
21,2015-06-03,0.88
22,2015-09-02,0.88
23,2015-12-02,0.88
24,2016-03-02,0.92
25,2016-06-08,0.92
26,2016-09-07,0.92
27,2016-12-07,0.92
28,2017-03-08,0.97
29,2017-06-07,0.97
30,2017-09-07,0.97
31,2017-12-07,0.97
32,2018-03-08,1.0
33,2018-06-07,1.0
34,2018-09-06,1.0
35,2018-12-06,1.0
36,2019-03-07,1.03
37,2019-06-06,1.03
38,2019-09-05,1.03
39,2019-12-05,1.03
40,2020-03-05,1.07
41,2020-06-04,1.07
42,2020-09-03,1.07
43,2020-12-03,1.07
