,Date,Dividends
0,2010-03-08,0.3
1,2010-06-08,0.3
2,2010-09-08,0.3
3,2010-12-08,0.33
4,2011-03-08,0.33
5,2011-06-08,0.33
6,2011-09-07,0.33
7,2011-12-07,0.36
8,2012-03-07,0.36
9,2012-06-06,0.36
10,2012-09-05,0.36
11,2012-12-06,5.0
12,2013-03-06,0.38
13,2013-06-06,0.4
14,2013-09-05,0.4
15,2013-12-05,0.44
16,2013-12-06,0.44
17,2014-03-05,0.44
18,2014-06-05,0.44
19,2014-09-05,0.44
20,2014-12-04,0.46
21,2015-03-05,0.46
22,2015-06-05,0.46
23,2015-09-04,0.46
24,2015-12-07,5.0
25,2016-03-07,0.5
26,2016-06-07,0.5
27,2016-09-07,0.5
28,2016-12-07,0.55
29,2017-03-07,0.55
30,2017-06-06,0.55
31,2017-09-07,0.55
32,2017-12-07,0.6
33,2018-03-08,0.6
34,2018-06-07,0.6
35,2018-09-06,0.6
36,2018-12-06,0.65
37,2019-03-07,0.65
38,2019-06-06,0.65
39,2019-09-06,0.65
40,2019-12-05,0.7
41,2020-03-05,0.7
42,2020-06-08,0.7
43,2020-09-08,0.7
44,2020-12-04,0.75
