,Date,Dividends
0,2010-01-14,0.035
1,2010-04-14,0.0375
2,2010-07-14,0.0375
3,2010-10-13,0.04
4,2011-01-12,0.0425
5,2011-04-13,0.045
6,2011-07-13,0.0475
7,2011-10-12,0.05
8,2012-01-11,0.055
9,2012-04-11,0.06
10,2012-07-11,0.065
11,2012-10-10,0.07
12,2013-01-16,0.075
13,2013-04-10,0.085
14,2013-07-10,0.095
15,2013-10-09,0.105
16,2014-01-15,0.11
17,2014-04-09,0.115
18,2014-07-09,0.12
19,2014-10-15,0.125
20,2015-01-14,0.13
21,2015-04-15,0.135
22,2015-07-15,0.14
23,2015-10-14,0.145
24,2016-01-13,0.15
25,2016-04-13,0.155
26,2016-07-13,0.16
27,2016-10-12,0.165
28,2017-01-18,0.17
29,2017-04-11,0.175
30,2017-07-12,0.18
31,2017-10-12,0.185
32,2018-01-18,0.19
33,2018-04-12,0.195
34,2018-07-12,0.2
35,2018-10-11,0.21
36,2019-01-14,0.22
37,2019-04-12,0.23
38,2019-07-11,0.24
39,2019-10-10,0.25
40,2020-01-16,0.26
41,2020-04-09,0.27
42,2020-07-10,0.2725
43,2020-10-08,0.275
