,Date,Dividends
0,2010-02-17,0.425
1,2010-05-12,0.425
2,2010-08-18,0.425
3,2010-11-17,0.425
4,2011-02-16,0.425
5,2011-05-18,0.48
6,2011-08-17,0.48
7,2011-11-16,0.48
8,2012-02-15,0.48
9,2012-05-16,0.48
10,2012-08-15,0.535
11,2012-11-14,0.535
12,2013-02-13,0.535
13,2013-05-15,0.535
14,2013-08-14,0.535
15,2013-11-13,0.59
16,2014-02-12,0.59
17,2014-05-14,0.59
18,2014-08-13,0.59
19,2014-11-12,0.59
20,2015-02-11,0.64
21,2015-05-13,0.64
22,2015-08-12,0.64
23,2015-11-10,0.64
24,2016-02-17,0.64
25,2016-05-18,0.66
26,2016-08-17,0.66
27,2016-11-16,0.66
28,2017-02-15,0.66
29,2017-05-17,0.66
30,2017-08-16,0.7
31,2017-11-16,0.7
32,2018-02-15,0.7
33,2018-05-17,0.7
34,2018-08-16,0.7
35,2018-11-15,0.735
36,2019-02-14,0.735
37,2019-05-16,0.735
38,2019-08-15,0.735
39,2019-11-14,0.735
40,2020-02-13,0.735
41,2020-05-14,0.475
42,2020-08-13,0.475
43,2020-11-12,0.475
