,Date,Dividends
0,2010-02-11 00:00:00,0.34
1,2010-05-12 00:00:00,0.34
2,2010-08-12 00:00:00,0.34
3,2010-11-10 00:00:00,0.345
4,2011-02-11 00:00:00,0.345
5,2011-05-11 00:00:00,0.345
6,2011-08-11 00:00:00,0.345
7,2011-11-10 00:00:00,0.35
8,2012-02-13 00:00:00,0.35
9,2012-05-11 00:00:00,0.35
10,2012-08-13 00:00:00,0.35
11,2012-11-13 00:00:00,0.355
12,2013-02-13 00:00:00,0.355
13,2013-05-13 00:00:00,0.355
14,2013-08-13 00:00:00,0.355
15,2013-11-14 00:00:00,0.36
16,2014-02-12 00:00:00,0.36
17,2014-05-13 00:00:00,0.36
18,2014-08-14 00:00:00,0.36
19,2014-11-13 00:00:00,0.38
20,2015-02-11 00:00:00,0.38
21,2015-05-13 00:00:00,0.38
22,2015-08-13 00:00:00,0.38
23,2015-11-12 00:00:00,0.4
24,2016-02-11 00:00:00,0.4
25,2016-05-11 00:00:00,0.4
26,2016-08-11 00:00:00,0.4
27,2016-11-10 00:00:00,0.42
28,2017-02-13 00:00:00,0.42
29,2017-05-11 00:00:00,0.42
30,2017-08-11 00:00:00,0.42
31,2017-11-14 00:00:00,0.45
32,2018-02-14 00:00:00,0.45
33,2018-05-14 00:00:00,0.45
34,2018-08-14 00:00:00,0.45
35,2018-11-14 00:00:00,0.48
36,2019-02-13 00:00:00,0.48
37,0,0.0
38,0,0.0
39,0,0.0
