Date,Dividends
1983-06-29,0.028908
1983-09-29,0.028908
1983-12-29,0.028908
1984-03-30,0.028908
1984-06-28,0.028908
1984-09-28,0.03469
1984-12-28,0.03469
1985-03-29,0.03469
1985-06-27,0.03469
1985-09-30,0.042784
1985-12-27,0.0463
1986-03-31,0.0463
1986-06-27,0.05
1986-09-29,0.05
1986-12-26,0.05
1987-03-30,0.05
1987-06-26,0.0625
1987-09-28,0.0625
1987-12-28,0.0625
1988-03-28,0.0625
1988-06-28,0.075
1988-09-27,0.075
1988-12-29,0.075
1989-03-30,0.075
1989-06-28,0.0825
1989-09-29,0.0825
1989-12-29,0.0825
1990-03-30,0.0825
1990-06-28,0.09
1990-09-28,0.09
1990-12-28,0.09
1991-04-01,0.09
1991-06-28,0.0975
1991-09-30,0.0975
1991-12-27,0.0975
1992-03-30,0.1
1992-06-26,0.1075
1992-09-28,0.1075
1992-12-28,0.1075
1993-03-29,0.1075
1993-06-28,0.115
1993-09-28,0.115
1993-12-28,0.115
1994-03-28,0.115
1994-06-28,0.1225
1994-09-27,0.1225
1994-12-27,0.1225
1995-03-28,0.1225
1995-06-29,0.13
1995-09-28,0.13
1995-12-28,0.13
1996-03-28,0.13
1996-06-27,0.1375
1996-09-27,0.1375
1996-12-30,0.1375
1997-03-27,0.1375
1997-06-27,0.15
1997-09-29,0.15
1997-12-30,0.15
1998-03-30,0.15
1998-06-29,0.17
1998-09-29,0.17
1998-12-30,0.17
1999-03-30,0.17
1999-06-29,0.18
1999-09-29,0.18
1999-12-31,0.18
2000-03-30,0.18
2000-06-29,0.19
2000-09-28,0.19
2000-12-28,0.19
2001-03-29,0.19
2001-06-28,0.2
2001-09-27,0.2
2001-12-28,0.2
2002-03-27,0.2
2002-06-27,0.21
2002-09-27,0.21
2002-12-30,0.21
2003-03-28,0.21
2003-06-27,0.23
2003-09-29,0.23
2003-12-30,0.23
2004-03-30,0.23
2004-06-29,0.29
2004-09-29,0.29
2004-12-30,0.29
2005-03-30,0.32
2005-06-29,0.32
2005-09-29,0.32
2005-12-29,0.32
2006-03-30,0.34
2006-06-29,0.34
2006-09-28,0.34
2006-12-28,0.34
2007-03-29,0.38
2007-06-28,0.38
2007-09-27,0.38
2007-12-28,0.38
2008-03-28,0.44
2008-06-27,0.44
2008-09-29,0.44
2008-12-30,0.44
2009-03-30,0.45
2009-06-29,0.45
2009-09-29,0.45
2009-12-30,0.45
2010-03-30,0.49
2010-06-29,0.49
2010-09-29,0.49
2010-12-30,0.49
2011-03-30,0.58
2011-06-29,0.58
2011-09-29,0.58
2011-12-29,0.58
2012-03-29,0.64
2012-06-28,0.64
2012-09-27,0.64
2012-12-28,0.64
2013-03-27,0.71
2013-06-27,0.71
2013-09-27,0.71
2013-12-30,0.71
2014-03-28,0.77
2014-06-27,0.77
2014-09-29,0.77
2014-12-30,0.77
2015-03-30,0.81
2015-06-29,0.81
2015-09-29,0.81
2015-12-30,0.81
2016-03-30,0.86
2016-06-29,0.86
2016-10-06,0.86
2016-12-29,0.86
2017-03-30,0.95
2017-06-29,0.95
2017-10-06,0.95
2017-10-09,0.95
2017-12-29,0.95
2018-03-29,1.1
2018-06-29,1.1
2018-09-28,1.1
2018-12-31,1.1
2019-03-29,1.16
2019-06-28,1.16
2019-09-30,1.16
2019-12-31,1.16
2020-03-31,1.34
2020-06-30,1.34
2020-09-30,1.34
2020-12-31,1.34
2021-03-31,1.5
2021-06-30,1.5
2021-09-30,1.5
2021-12-31,1.5
2022-03-31,1.62
