Date,Dividends
1973-02-28,0.021875
1983-06-07,0.017938
1983-09-02,0.017938
1983-12-05,0.017938
1984-03-05,0.017938
1984-06-05,0.017938
1984-08-31,0.01875
1984-12-11,0.01875
1985-03-04,0.01875
1985-06-04,0.01875
1985-09-03,0.01875
1985-12-10,0.0207
1986-03-10,0.0207
1986-06-03,0.0207
1986-09-03,0.0207
1986-12-09,0.0232
1987-03-04,0.0232
1987-06-03,0.0232
1987-09-02,0.0232
1987-12-07,0.0269
1988-03-04,0.0269
1988-06-07,0.0269
1988-09-02,0.0269
1988-12-13,0.0313
1989-03-06,0.0313
1989-06-06,0.0313
1989-09-01,0.0313
1989-12-11,0.0338
1990-03-05,0.0338
1990-06-04,0.0338
1990-08-31,0.0338
1990-12-10,0.0363
1991-03-04,0.0363
1991-06-03,0.0363
1991-09-03,0.0363
1991-12-09,0.0375
1992-03-04,0.0375
1992-06-03,0.0375
1992-09-02,0.0375
1992-12-08,0.0413
1993-03-04,0.0413
1993-06-03,0.0413
1993-09-02,0.0413
1993-12-07,0.0463
1994-03-04,0.0463
1994-06-03,0.0463
1994-09-02,0.0463
1994-12-13,0.0513
1995-03-06,0.0513
1995-06-06,0.0513
1995-09-06,0.0513
1995-12-14,0.0575
1996-03-06,0.0575
1996-06-05,0.0575
1996-09-05,0.0575
1996-12-12,0.065
1997-03-05,0.065
1997-06-04,0.065
1997-09-04,0.065
1997-09-05,0.065
1997-12-12,0.0725
1998-03-04,0.0725
1998-06-03,0.0725
1998-09-04,0.0725
1998-12-10,0.085
1999-03-08,0.085
1999-06-07,0.085
1999-09-07,0.085
1999-12-10,0.0925
2000-03-08,0.0925
2000-06-07,0.0925
2000-09-06,0.0925
2000-12-08,0.0925
2001-03-07,0.095
2001-06-06,0.095
2001-09-05,0.095
2001-12-10,0.0975
2002-03-06,0.0975
2002-06-05,0.0975
2002-09-05,0.0975
2002-12-10,0.1
2003-03-06,0.1
2003-06-05,0.1
2003-09-05,0.1
2003-12-10,0.15
2004-03-08,0.15
2004-06-07,0.15
2004-09-07,0.15
2004-12-09,0.18
2005-03-08,0.18
2005-06-07,0.18
2005-09-07,0.18
2005-12-09,0.215
2006-03-08,0.215
2006-06-07,0.215
2006-09-06,0.215
2006-12-08,0.245
2007-03-07,0.245
2007-06-06,0.245
2007-09-05,0.245
2007-12-10,0.285
2008-03-06,0.285
2008-06-05,0.285
2008-09-05,0.285
2008-12-10,0.33
2009-03-06,0.33
2009-06-05,0.33
2009-09-04,0.33
2009-12-10,0.37
2010-03-08,0.37
2010-06-07,0.37
2010-09-07,0.37
2010-12-08,0.41
2011-03-08,0.41
2011-06-07,0.41
2011-09-07,0.41
2011-12-08,0.45
2012-03-07,0.45
2012-06-06,0.45
2012-09-05,0.45
2012-12-06,0.495
2013-03-06,0.495
2013-06-05,0.495
2013-09-05,0.495
2013-12-06,0.545
2014-03-06,0.545
2014-06-05,0.545
2014-09-05,0.545
2014-12-08,0.6
2015-03-06,0.6
2015-06-05,0.6
2015-09-04,0.6
2015-12-08,0.66
2016-03-08,0.66
2016-06-07,0.66
2016-09-07,0.66
2016-12-07,0.73
2017-03-08,0.73
2017-06-07,0.73
2017-09-07,0.73
2017-12-07,0.75
2018-03-08,0.75
2018-06-07,0.75
2018-09-06,0.75
2018-12-07,0.77
2019-03-07,0.77
2019-06-06,0.77
2019-09-06,0.77
2019-12-09,0.79
2020-03-09,0.79
2020-06-08,0.79
2020-09-08,0.79
2020-12-09,0.83
2021-03-09,0.83
2021-06-08,0.83
2021-09-08,0.83
2021-12-09,0.87
2022-03-09,0.87
