Date,Dividends
1984-03-06,0.005138889
1985-03-06,0.009995333
1986-03-10,0.012494166
1987-03-10,0.014993
1988-03-14,0.021689888
1989-03-13,0.028386777
1990-03-12,0.03838211
1991-03-11,0.047577776
1992-03-03,0.055
1993-03-03,0.07
1994-03-07,0.085
1995-03-06,0.0667
1996-03-06,0.0833
1997-03-05,0.1
1998-02-04,0.12
1999-02-03,0.1467
2000-02-02,0.1867
2001-01-31,0.22
2002-02-13,0.25
2003-02-05,0.27
2004-02-06,0.29
2005-02-04,0.32
2006-02-03,0.35
2007-02-02,0.39
2008-02-04,0.46
2009-02-02,0.47
2010-02-08,0.48
2010-11-09,0.49
2011-11-08,0.54
2012-11-07,0.64
2013-11-06,0.77
2014-11-05,0.85
2015-11-04,1.05
2016-11-02,1.33
2017-11-09,1.62
2018-11-08,2.05
2019-11-07,2.55
2020-11-05,3.51
2021-02-11,0.75
2021-05-13,0.75
2021-08-12,0.95
2021-11-12,0.95
2022-02-14,0.95
