Date,Dividends
1988-03-25,0.047864426
1988-06-15,0.047864426
1988-09-14,0.047864426
1988-12-14,0.05231476
1989-03-17,0.05231476
1989-06-14,0.05231476
1989-09-14,0.05231476
1989-12-14,0.05703764
1990-03-14,0.05703764
1990-06-14,0.05703764
1990-09-14,0.05703764
1990-12-10,0.061578974
1991-03-14,0.061578974
1991-06-14,0.061578974
1991-09-04,0.061578974
1991-12-16,0.064939365
1992-03-09,0.064939365
1992-06-09,0.064878926
1992-09-09,0.064878926
1992-12-09,0.06851345
1993-03-09,0.06851345
1993-06-09,0.06851345
1993-09-09,0.06851345
1993-12-09,0.07687314
1994-03-09,0.07690701
1994-06-09,0.07690701
1994-09-09,0.07690701
1994-12-09,0.08227464
1995-03-09,0.08227464
1995-06-13,0.08227464
1995-09-13,0.08227464
1995-12-13,0.09227096
1996-03-13,0.09227096
1996-06-12,0.09227096
1996-09-11,0.09227096
1996-12-11,0.102636755
1997-03-12,0.10154322
1997-06-11,0.10154322
1997-09-11,0.10154322
1997-12-11,0.11291172
1998-03-11,0.11291172
1998-08-03,0.11291172
1998-09-11,0.11291172
1998-12-11,0.11854517
1999-03-11,0.11854517
1999-06-11,0.124184266
1999-09-13,0.124184266
1999-12-13,0.124184266
2000-03-13,0.124184266
2000-06-13,0.12972474
2000-06-28,0.129773
2000-09-13,0.12972474
2000-12-13,0.13663684
2001-03-13,0.13663684
2001-06-13,0.13663684
2001-09-12,0.13663684
2001-09-17,0.136603
2001-12-12,0.14336452
2002-03-13,0.14336452
2002-06-12,0.14336452
2002-09-11,0.14336452
2002-12-11,0.15773103
2003-03-12,0.15773103
2003-06-11,0.15773103
2003-09-11,0.17281742
2003-12-11,0.19009091
2004-03-11,0.19009091
2004-06-14,0.19009091
2004-09-13,0.19009091
2004-12-13,0.21818182
2005-03-11,0.21818182
2005-06-13,0.21818182
2005-09-13,0.21818182
2005-12-13,0.23636363
2006-03-13,0.23636363
2006-06-13,0.23636363
2006-09-13,0.23636363
2006-12-13,0.24545455
2007-03-13,0.24545455
2007-06-13,0.24545455
2007-09-12,0.24545455
2007-12-12,0.26363635
2008-03-13,0.26363635
2008-06-11,0.26363635
2008-09-11,0.26363635
2008-12-11,0.26363635
2009-03-19,0.27272728
2009-06-11,0.27272728
2009-09-11,0.27272728
2009-12-11,0.27272728
2010-03-11,0.27272728
2010-06-11,0.27272728
2010-09-13,0.27727273
2010-12-13,0.27727273
2011-03-11,0.27727273
2011-06-13,0.27727273
2011-09-13,0.28181818
2011-12-13,0.28181818
2012-03-13,0.28181818
2012-06-13,0.28181818
2012-09-12,0.28636363
2012-12-12,0.28636363
2013-03-13,0.28636363
2013-06-12,0.28636363
2013-09-11,0.29090908
2013-12-11,0.29090908
2014-03-12,0.29090908
2014-06-11,0.29
2014-09-11,0.3
2014-12-11,0.3
2015-03-11,0.3
2015-06-11,0.3
2015-09-11,0.31
2015-12-11,0.31
2016-03-11,0.31
2016-06-13,0.31
2016-09-13,0.32
2016-12-13,0.32
2017-03-13,0.32
2017-06-13,0.32
2017-09-14,0.33
2017-12-14,0.33
2018-03-14,0.33
2018-06-14,0.33
2018-09-13,0.36
2018-12-13,0.36
2019-03-14,0.36
2019-06-13,0.36
2019-09-12,0.38
2019-12-12,0.38
2020-03-12,0.38
2020-06-12,0.38
2020-09-14,0.385
2020-12-14,0.385
2021-03-12,0.385
2021-06-14,0.385
2021-09-14,0.4
2021-12-14,0.4
2022-03-14,0.4
