Date,Dividends
1982-02-24,0.013826
1982-05-26,0.013826
1982-08-25,0.014664
1982-12-08,0.014664
1983-02-24,0.014664
1983-08-25,0.015502
1983-12-07,0.015502
1984-08-24,0.017177
1984-12-06,0.017177
1985-02-26,0.017177
1985-05-28,0.017177
1985-08-22,0.018434
1985-12-04,0.018434
1986-02-24,0.0275
1986-05-21,0.0275
1986-08-22,0.0288
1986-12-04,0.0288
1987-02-23,0.0288
1987-05-21,0.0288
1987-08-24,0.035
1987-12-04,0.035
1988-02-23,0.035
1988-05-23,0.035
1988-08-22,0.0425
1988-12-05,0.0425
1989-02-22,0.0425
1989-05-22,0.0425
1989-08-22,0.045
1989-12-04,0.045
1990-02-22,0.045
1990-05-22,0.045
1990-08-22,0.05
1990-12-04,0.05
1991-02-25,0.05
1991-05-21,0.05
1991-08-22,0.0525
1991-12-04,0.0525
1992-02-24,0.0525
1992-05-21,0.0525
1992-08-24,0.055
1992-11-20,0.055
1993-02-22,0.055
1993-05-24,0.055
1993-08-24,0.0575
1993-11-19,0.0575
1994-02-22,0.0575
1994-05-23,0.0575
1994-08-24,0.065
1994-11-21,0.065
1995-02-22,0.065
1995-05-22,0.065
1995-08-29,0.075
1995-11-24,0.075
1996-02-27,0.075
1996-05-29,0.075
1996-08-28,0.085
1996-11-26,0.085
1997-02-26,0.085
1997-05-28,0.085
1997-08-27,0.095
1997-11-25,0.095
1998-02-25,0.095
1998-05-27,0.095
1998-08-27,0.105
1998-11-25,0.105
1999-02-25,0.105
1999-05-26,0.105
1999-08-27,0.115
1999-11-26,0.115
2000-02-25,0.115
2000-05-24,0.115
2000-08-29,0.125
2000-11-28,0.125
2001-02-26,0.125
2001-05-29,0.125
2001-08-29,0.135
2001-11-28,0.135
2002-02-26,0.135
2002-05-29,0.135
2002-08-28,0.135
2002-11-26,0.135
2003-02-26,0.135
2003-05-28,0.135
2003-08-27,0.15
2003-11-25,0.15
2004-02-25,0.15
2004-05-26,0.15
2004-08-27,0.16
2004-11-26,0.16
2005-02-24,0.16
2005-05-26,0.16
2005-08-29,0.17
2005-11-28,0.17
2006-02-24,0.17
2006-05-26,0.17
2006-08-29,0.185
2006-11-28,0.185
2007-02-26,0.185
2007-05-29,0.185
2007-08-29,0.2
2007-11-28,0.2
2008-02-27,0.2
2008-05-28,0.2
2008-08-27,0.25
2008-11-25,0.25
2009-02-25,0.25
2009-05-27,0.25
2009-08-27,0.26
2009-11-25,0.26
2010-02-24,0.26
2010-05-26,0.26
2010-08-27,0.275
2010-11-26,0.275
2011-02-24,0.275
2011-05-26,0.275
2011-08-29,0.315
2011-11-28,0.315
2012-02-27,0.315
2012-05-29,0.315
2012-08-29,0.35
2012-11-28,0.35
2013-02-26,0.35
2013-05-29,0.35
2013-08-28,0.375
2013-11-26,0.375
2014-03-12,0.375
2014-05-28,0.375
2014-08-27,0.4
2014-11-25,0.4
2015-02-25,0.4
2015-05-27,0.4
2015-08-27,0.42
2015-11-25,0.42
2016-02-25,0.42
2016-05-26,0.42
2016-08-29,0.44
2016-11-28,0.44
2017-02-24,0.44
2017-05-26,0.44
2017-08-29,0.47
2017-11-29,0.47
2018-02-27,0.47
2018-05-30,0.47
2018-08-30,0.48
2018-11-29,0.48
2019-02-27,0.48
2019-05-30,0.48
2019-08-29,0.49
2019-11-27,0.49
2020-02-27,0.49
2020-05-28,0.49
2020-08-28,0.495
2020-11-27,0.495
2021-02-25,0.495
2021-05-27,0.495
2021-08-30,0.5
2021-11-29,0.5
2022-02-25,0.5
