Date,Dividends
1985-12-18,0.0163
1986-03-19,0.0163
1986-06-18,0.0182
1986-09-17,0.0182
1986-12-17,0.0182
1987-03-18,0.0182
1987-06-17,0.0182
1987-09-16,0.0194
1987-12-16,0.0194
1988-03-16,0.0194
1988-06-15,0.0194
1988-09-14,0.0207
1988-12-14,0.0207
1989-03-15,0.0207
1989-06-14,0.0207
1989-09-13,0.0207
1989-12-13,0.0207
1990-03-14,0.0207
1990-06-13,0.0207
1990-09-12,0.0207
1990-12-12,0.0219
1991-03-13,0.0219
1991-06-12,0.0219
1991-09-11,0.0219
1991-12-20,0.0219
1992-03-11,0.0219
1992-06-10,0.0219
1992-09-09,0.0219
1992-12-22,0.0238
1993-03-10,0.0238
1993-06-09,0.0238
1993-09-15,0.0238
1993-12-21,0.0275
1994-03-09,0.0275
1994-06-15,0.0275
1994-09-14,0.0275
1994-12-23,0.0313
1995-03-08,0.0313
1995-06-23,0.0313
1995-09-15,0.0313
1995-12-27,0.035
1996-03-15,0.035
1996-06-14,0.035
1996-09-13,0.035
1996-12-24,0.04
1997-03-14,0.04
1997-06-13,0.04
1997-09-12,0.04
1997-12-23,0.0475
1998-03-13,0.0475
1998-06-12,0.0475
1998-09-11,0.0475
1998-12-24,0.0525
1999-03-12,0.0525
1999-06-11,0.0525
1999-09-17,0.0525
1999-12-29,0.06
2000-03-17,0.06
2000-06-16,0.06
2000-09-15,0.06
2000-12-15,0.065
2001-03-16,0.065
2001-06-15,0.065
2001-09-14,0.065
2001-09-17,0.065
2001-12-14,0.0675
2002-03-15,0.0675
2002-06-14,0.0675
2002-09-13,0.0675
2002-12-19,0.0725
2003-03-14,0.0725
2003-06-13,0.0725
2003-09-12,0.0725
2003-12-19,0.08
2004-03-12,0.08
2004-06-14,0.08
2004-09-17,0.08
2004-12-17,0.0875
2005-03-11,0.0875
2005-06-17,0.0875
2005-09-16,0.0875
2005-12-16,0.1
2006-03-10,0.1
2006-06-16,0.1
2006-09-15,0.1
2006-12-15,0.115
2007-03-16,0.115
2007-06-15,0.115
2007-09-14,0.115
2007-12-14,0.13
2008-03-07,0.13
2008-06-13,0.13
2008-09-12,0.13
2008-12-12,0.14
2009-03-06,0.14
2009-06-12,0.14
2009-09-11,0.14
2009-12-11,0.155
2010-03-05,0.155
2010-06-11,0.155
2010-09-17,0.155
2010-12-17,0.175
2011-03-04,0.175
2011-06-17,0.175
2011-09-16,0.175
2011-12-16,0.2
2012-03-02,0.2
2012-06-15,0.2
2012-09-14,0.2
2012-12-14,0.23
2013-03-01,0.23
2013-06-14,0.23
2013-09-13,0.23
2013-12-13,0.275
2014-03-07,0.275
2014-06-13,0.275
2014-09-12,0.275
2014-12-12,0.33
2015-03-06,0.33
2015-06-12,0.33
2015-09-11,0.33
2015-12-11,0.35
2016-03-11,0.35
2016-06-17,0.35
2016-09-16,0.35
2016-12-16,0.37
2017-03-17,0.37
2017-06-16,0.37
2017-09-18,0.37
2017-12-18,0.41
2018-03-19,0.41
2018-06-18,0.41
2018-09-17,0.41
2018-12-17,0.46
2019-03-18,0.46
2019-06-17,0.46
2019-09-16,0.46
2019-12-16,0.47
2020-03-16,0.47
2020-06-15,0.47
2020-09-14,0.47
2020-12-14,0.48
2021-03-15,0.48
2021-06-14,0.48
2021-09-13,0.48
2021-12-13,0.51
2022-03-14,0.51
