Date,Dividends
1962-01-30,0.09375
1962-05-01,0.09375
1962-07-31,0.09375
1962-10-30,0.09375
1963-01-29,0.09375
1963-04-30,0.103125
1963-07-30,0.103125
1963-10-29,0.103125
1964-02-04,0.103125
1964-05-05,0.103125
1964-08-04,0.103125
1964-11-02,0.103125
1965-02-02,0.05625
1965-05-04,0.1125
1965-08-03,0.1125
1965-11-01,0.1125
1966-02-01,0.1125
1966-05-03,0.1125
1966-08-02,0.1125
1966-11-01,0.1125
1967-01-31,0.1125
1967-05-02,0.1125
1967-10-31,0.1125
1968-01-30,0.1125
1968-04-29,0.1145
1968-07-29,0.1125
1968-10-28,0.1125
1969-02-03,0.1125
1969-04-28,0.1125
1969-07-28,0.1125
1969-10-31,0.1125
1970-02-02,0.02825
1970-05-04,0.1125
1970-08-03,0.1125
1970-11-06,0.1125
1971-02-01,0.1125
1971-05-03,0.1125
1971-08-02,0.1125
1971-11-01,0.02825
1972-01-31,0.1125
1972-05-01,0.1125
1972-07-31,0.1125
1972-10-30,0.1125
1973-02-01,0.1125
1973-05-03,0.1125
1973-08-02,0.1125
1973-10-31,0.1125
1974-01-31,0.1125
1974-08-01,0.05
1974-10-30,0.05
1975-02-05,0.075
1975-05-01,0.075
1975-07-31,0.075
1975-11-05,0.075
1976-02-05,0.1
1976-05-06,0.1
1976-08-05,0.1
1976-11-04,0.1
1977-02-03,0.125
1977-05-05,0.125
1977-08-04,0.125
1977-11-03,0.03125
1978-02-02,0.1375
1978-05-04,0.1375
1978-08-03,0.1375
1978-11-01,0.1375
1979-02-01,0.1525
1979-05-03,0.1525
1979-08-02,0.1525
1979-10-31,0.1525
1980-01-31,0.1675
1980-05-01,0.1675
1980-07-31,0.1675
1980-11-05,0.1675
1981-02-05,0.04625
1981-05-07,0.185
1981-08-06,0.185
1981-11-04,0.185
1982-02-09,0.21
1982-05-06,0.21
1982-08-05,0.21
1982-11-03,0.21
1983-02-03,0.235
1983-05-05,0.235
1983-08-04,0.235
1983-11-02,0.235
1984-02-02,0.265
1984-05-03,0.265
1984-08-02,0.265
1984-10-31,0.265
1985-01-31,0.3
1985-05-02,0.3
1985-08-01,0.3
1985-10-31,0.3
1986-02-12,0.335
1986-05-08,0.335
1986-08-07,0.335
1986-11-13,0.335
1987-02-11,0.37
1987-05-07,0.37
1987-08-13,0.37
1987-11-12,0.37
1988-02-10,0.4
1988-05-12,0.4
1988-08-11,0.4
1988-11-09,0.4
1989-02-09,0.43
1989-05-11,0.43
1989-08-10,0.43
1989-11-09,0.43
1990-02-08,0.455
1990-05-10,0.455
1990-08-09,0.455
1990-11-07,0.455
1991-02-07,0.465
1991-05-09,0.465
1991-08-08,0.465
1991-11-06,0.465
1992-02-12,0.475
1992-05-07,0.475
1992-08-13,0.475
1992-11-12,0.475
1993-02-10,0.485
1993-05-13,0.485
1993-08-12,0.485
1993-11-10,0.485
1994-02-10,0.5
1994-05-12,0.5
1994-08-11,0.5
1994-11-09,0.5
1995-02-09,0.51
1995-05-11,0.51
1995-08-14,0.51
1995-11-13,0.51
1996-02-12,0.52
1996-05-13,0.52
1996-08-12,0.52
1996-11-08,0.52
1996-11-11,0.52
1997-02-14,0.525
1997-05-12,0.525
1997-08-11,0.525
1997-11-17,0.525
1998-02-13,0.53
1998-05-11,0.53
1998-08-17,0.53
1998-11-16,0.53
1999-02-12,0.535
1999-05-17,0.535
1999-08-16,0.535
1999-11-15,0.535
2000-02-14,0.545
2000-05-15,0.545
2000-08-14,0.545
2000-11-13,0.545
2001-02-12,0.55
2001-05-14,0.55
2001-08-13,0.55
2001-11-09,0.55
2002-02-11,0.555
2002-05-13,0.555
2002-08-12,0.555
2002-11-08,0.555
2003-02-10,0.56
2003-05-12,0.56
2003-08-11,0.56
2003-11-07,0.56
2004-02-09,0.565
2004-05-10,0.565
2004-08-09,0.565
2004-11-08,0.565
2005-02-14,0.57
2005-05-16,0.57
2005-08-15,0.57
2005-11-14,0.57
2006-02-13,0.575
2006-05-11,0.575
2006-08-14,0.575
2006-11-13,0.575
2007-02-12,0.58
2007-05-14,0.58
2007-08-13,0.58
2007-11-09,0.58
2008-02-11,0.585
2008-05-12,0.585
2008-08-11,0.585
2008-11-07,0.585
2009-02-13,0.59
2009-05-11,0.59
2009-08-17,0.59
2009-11-16,0.59
2010-02-12,0.595
2010-05-10,0.595
2010-08-16,0.595
2010-11-15,0.595
2011-02-14,0.6
2011-05-16,0.6
2011-08-15,0.6
2011-11-14,0.6
2012-02-13,0.605
2012-05-14,0.605
2012-08-13,0.605
2012-11-09,0.605
2013-02-11,0.615
2013-05-13,0.615
2013-08-12,0.615
2013-11-08,0.615
2014-02-10,0.63
2014-05-12,0.63
2014-08-11,0.63
2014-11-07,0.63
2015-02-13,0.65
2015-05-18,0.65
2015-08-17,0.65
2015-11-16,0.65
2016-02-12,0.67
2016-05-16,0.67
2016-08-15,0.67
2016-11-14,0.67
2017-02-13,0.69
2017-05-15,0.69
2017-08-14,0.69
2017-11-14,0.69
2018-02-13,0.715
2018-05-15,0.715
2018-08-14,0.715
2018-11-13,0.715
2019-02-12,0.74
2019-05-14,0.74
2019-08-13,0.74
2019-11-12,0.74
2020-02-18,0.765
2020-05-12,0.765
2020-08-18,0.765
2020-11-17,0.765
2021-02-16,0.775
2021-05-18,0.775
2021-08-17,0.775
2021-11-16,0.775
2022-02-15,0.79
