Date,Dividends
1985-02-08,0.038382
1985-05-09,0.04338
1985-08-09,0.04338
1985-11-08,0.04338
1986-02-10,0.04338
1986-05-09,0.04338
1986-08-11,0.045079
1986-11-07,0.045079
1987-02-09,0.045079
1987-05-11,0.045079
1987-08-10,0.047578
1987-11-06,0.047578
1988-02-08,0.047578
1988-05-09,0.047578
1988-08-09,0.051676
1988-11-08,0.051676
1989-02-09,0.051676
1989-05-09,0.0525
1989-08-09,0.055
1989-11-09,0.055
1990-02-09,0.055
1990-05-09,0.055
1990-08-09,0.0588
1990-11-08,0.0588
1991-02-11,0.0588
1991-05-09,0.0588
1991-08-09,0.0625
1991-11-08,0.0625
1992-02-10,0.0625
1992-05-11,0.0625
1992-08-10,0.065
1992-11-06,0.065
1993-02-08,0.065
1993-05-10,0.065
1993-08-09,0.0675
1993-11-08,0.0675
1994-02-09,0.0675
1994-05-09,0.0675
1994-08-09,0.07
1994-11-08,0.07
1995-02-09,0.07
1995-05-09,0.07
1995-08-11,0.0725
1995-11-13,0.0725
1996-02-13,0.0725
1996-05-13,0.0725
1996-08-13,0.075
1996-11-13,0.075
1997-02-12,0.075
1997-05-13,0.075
1997-08-13,0.0775
1997-11-12,0.0775
1998-02-11,0.0775
1998-05-13,0.0775
1998-08-12,0.08
1998-11-10,0.08
1999-02-10,0.08
1999-05-12,0.08
1999-08-11,0.0825
1999-11-10,0.0825
2000-02-11,0.0825
2000-05-11,0.0825
2000-08-11,0.085
2000-11-13,0.085
2001-02-13,0.085
2001-05-11,0.085
2001-08-13,0.0875
2001-11-13,0.0875
2002-02-13,0.0875
2002-05-13,0.0875
2002-08-13,0.09
2002-11-13,0.09
2003-02-12,0.09
2003-05-13,0.09
2003-08-13,0.0925
2003-11-12,0.0925
2004-02-11,0.0925
2004-05-12,0.0925
2004-08-11,0.0963
2004-11-10,0.0963
2005-02-11,0.1
2005-05-11,0.1
2005-08-11,0.1
2005-11-10,0.1
2006-02-13,0.11
2006-05-11,0.11
2006-08-11,0.11
2006-11-13,0.11
2007-02-13,0.115
2007-05-11,0.115
2007-08-13,0.115
2007-11-13,0.115
2008-02-13,0.12
2008-05-13,0.12
2008-08-13,0.12
2008-11-12,0.12
2009-02-11,0.125
2009-05-13,0.125
2009-08-12,0.125
2009-11-10,0.125
2010-02-10,0.13
2010-05-12,0.13
2010-08-11,0.13
2010-11-10,0.13
2011-02-11,0.135
2011-05-11,0.135
2011-08-11,0.135
2011-11-10,0.135
2012-02-13,0.14
2012-05-11,0.14
2012-08-13,0.14
2012-11-13,0.14
2013-02-13,0.145
2013-05-13,0.145
2013-08-13,0.145
2013-11-13,0.145
2014-02-12,0.15
2014-05-13,0.15
2014-08-13,0.15
2014-11-12,0.02
2015-02-19,0.02
2015-05-13,0.02
2015-08-12,0.02
2015-11-10,0.02
