Date,Dividends
1972-08-14,0.0125
1972-11-13,0.0125
1973-02-09,0.013042
1973-05-14,0.013042
1973-08-27,0.013583
1973-11-12,0.013583
1974-02-15,0.014583
1974-05-20,0.014583
1974-08-19,0.014583
1974-11-18,0.014583
1975-02-14,0.015667
1975-05-19,0.015667
1975-08-18,0.015583
1975-11-17,0.015583
1976-02-13,0.016667
1976-05-17,0.016667
1976-08-16,0.016667
1976-11-15,0.020833
1977-02-14,0.020833
1977-05-16,0.020833
1977-08-15,0.020833
1977-11-18,0.025
1978-02-14,0.025
1978-05-22,0.025
1978-08-21,0.025
1978-11-17,0.03
1979-02-16,0.03
1979-05-21,0.03
1979-08-20,0.03
1979-11-16,0.033333
1980-02-15,0.033333
1980-05-19,0.033333
1980-08-18,0.033333
1980-11-17,0.036667
1981-02-13,0.036667
1981-05-18,0.036667
1981-08-17,0.036667
1981-11-16,0.041667
1982-02-11,0.041667
1982-05-17,0.041667
1982-08-16,0.041667
1982-11-15,0.04375
1983-02-14,0.04375
1983-05-16,0.04375
1983-08-15,0.04375
1983-11-14,0.047917
1984-02-10,0.047917
1984-05-14,0.047917
1984-08-13,0.047917
1984-11-16,0.054167
1985-02-15,0.054167
1985-05-20,0.054167
1985-08-19,0.054167
1985-11-18,0.0575
1986-02-14,0.0575575
1986-05-19,0.0575575
1986-08-18,0.0575575
1986-11-17,0.06006
1987-02-13,0.06006
1987-05-18,0.06006
1987-08-17,0.0625625
1987-11-16,0.0625
1988-02-12,0.0625
1988-05-16,0.0625
1988-08-15,0.0625
1988-11-14,0.07
1989-02-13,0.07
1989-05-15,0.07
1989-08-14,0.07
1989-11-13,0.0788
1990-02-12,0.0788
1990-05-14,0.0788
1990-08-13,0.0788
1990-10-22,0.05625
1990-11-09,0.0825
1991-02-15,0.0825
1991-05-20,0.0825
1991-08-19,0.0825
1991-11-20,0.0863
1992-02-14,0.0863
1992-05-18,0.0863
1992-08-17,0.0863
1992-11-18,0.09
1993-02-12,0.09
1993-05-17,0.09
1993-08-16,0.09
1993-11-17,0.0975
1994-02-14,0.0975
1994-05-16,0.0975
1994-08-15,0.0975
1994-11-17,0.1075
1995-02-13,0.1075
1995-05-15,0.1075
1995-08-16,0.1225
1995-11-15,0.1225
1996-02-21,0.1225
1996-05-15,0.1225
1996-08-14,0.1225
1996-11-20,0.135
1997-02-19,0.135
1997-05-14,0.135
1997-08-13,0.135
1997-11-19,0.1475
1998-02-18,0.1475
1998-05-13,0.1475
1998-08-12,0.1475
1998-11-18,0.1625
1999-02-17,0.1625
1999-05-12,0.1625
1999-08-11,0.1625
1999-11-17,0.17875
2000-02-16,0.17875
2000-05-10,0.17875
2000-08-09,0.17875
2000-11-15,0.19125
2001-02-14,0.19125
2001-05-09,0.19125
2001-08-15,0.19125
2001-11-14,0.19375
2002-02-13,0.19375
2002-05-15,0.19375
2002-08-14,0.19375
2002-11-13,0.19625
2003-02-12,0.19625
2003-05-14,0.19625
2003-08-13,0.19625
2003-11-12,0.2
2004-02-11,0.2
2004-05-12,0.2
2004-08-11,0.2
2004-11-09,0.2075
2005-02-09,0.2075
2005-05-11,0.2075
2005-08-10,0.2075
2005-11-08,0.2225
2006-02-15,0.2225
2006-05-10,0.2225
2006-08-09,0.2225
2006-11-15,0.2625
2007-02-14,0.2625
2007-05-09,0.2625
2007-08-15,0.2625
2007-11-14,0.3
2008-02-13,0.3
2008-05-14,0.3
2008-08-13,0.3
2008-11-12,0.33
2009-02-11,0.33
2009-05-13,0.33
2009-08-12,0.33
2009-11-10,0.335
2010-02-10,0.335
2010-05-12,0.335
2010-08-11,0.335
2010-11-09,0.345
2011-02-09,0.345
2011-05-11,0.345
2011-08-10,0.345
2011-11-08,0.4
2012-02-15,0.4
2012-05-09,0.4
2012-08-15,0.4
2012-11-14,0.41
2013-02-13,0.41
2013-05-15,0.41
2013-08-14,0.41
2013-11-13,0.43
2014-02-12,0.43
2014-05-14,0.43
2014-08-13,0.43
2014-11-12,0.47
2015-02-11,0.47
2015-05-13,0.47
2015-08-12,0.47
2015-11-10,0.475
2016-02-10,0.475
2016-05-11,0.475
2016-08-10,0.475
2016-11-08,0.48
2017-02-15,0.48
2017-05-10,0.48
2017-08-09,0.48
2017-11-16,0.485
2018-02-15,0.485
2018-05-10,0.485
2018-08-16,0.485
2018-11-15,0.49
2019-02-14,0.49
2019-05-16,0.49
2019-08-15,0.49
2019-11-14,0.5
2020-02-13,0.5
2020-05-14,0.5
2020-08-13,0.5
2020-11-12,0.505
2021-02-11,0.505
2021-05-13,0.505
2021-08-12,0.505
2021-11-10,0.515
2022-02-10,0.515
