Date,Dividends
1985-02-01,0.025099875
1985-05-03,0.025249843
1985-08-01,0.02494991
1985-11-01,0.02724964
1986-02-03,0.02724964
1986-05-05,0.02749933
1986-08-01,0.027449848
1986-11-03,0.027599815
1987-02-10,0.029199958
1987-05-04,0.028600095
1987-08-03,0.029100236
1987-11-03,0.029299682
1988-02-02,0.03084928
1988-05-10,0.031399965
1988-08-09,0.031300243
1988-11-08,0.03189919
1989-02-09,0.031950347
1989-05-09,0.031849865
1989-08-09,0.032349244
1989-11-08,0.032899626
1990-02-09,0.032550212
1990-05-10,0.03274966
1990-08-09,0.03294987
1990-11-07,0.032850143
1991-02-11,0.032899626
1991-05-09,0.05474973
1991-08-12,0.05525
1991-11-08,0.05565
1992-01-09,0.74475
1992-02-10,0.05285
1992-05-11,0.0625
1992-08-11,0.0523
1992-11-06,0.04865
1993-02-08,0.05075
1993-05-11,0.0492
1993-08-10,0.0474
1993-11-08,0.04685
1994-02-07,0.04625
1994-05-11,0.0452
1994-08-15,0.04575
1994-11-08,0.04605
1995-02-07,0.0448
1995-05-22,0.0458
1995-08-11,0.046
1995-11-17,0.0462
1996-02-14,0.0454
1996-05-13,0.04565
1996-08-16,0.0469
1996-11-13,0.0483
1997-02-12,0.0475
1997-05-14,0.04645
1997-08-20,0.0489
1997-11-19,0.04815
1998-02-11,0.04745
1998-05-13,0.04725
1998-08-12,0.04735
1998-11-17,0.0464
1999-02-10,0.071875
1999-05-12,0.075625
1999-08-11,0.075625
1999-11-17,0.075625
2000-02-09,0.075625
2000-05-10,0.080625
2000-08-09,0.0542
2000-11-15,0.080625
2001-02-07,0.0579
2001-05-16,0.0566
2001-08-08,0.05705
2001-11-20,0.05505
2002-02-11,0.05945
2002-05-15,0.061
2002-08-07,0.095
2002-11-18,0.095
2003-02-12,0.06785
2003-05-19,0.075
2003-08-13,0.07495
2003-11-12,0.0791
2004-02-11,0.086
2004-05-13,0.08245
2004-08-12,0.08635
2004-11-10,0.09535
2005-02-11,0.10065
2005-05-12,0.1002
2005-08-11,0.10335
2005-11-10,0.1214
2006-02-13,0.1255
2006-05-11,0.1298
2006-08-11,0.1274
2006-11-13,0.12725
2007-02-13,0.13115
2007-05-11,0.1388
2007-08-13,0.14575
2007-11-13,0.16305
2008-02-13,0.16505
2008-05-13,0.1638
2008-08-13,0.165
2008-11-12,0.165
2009-02-11,0.185
2009-05-13,0.185
2009-08-13,0.185
2009-11-12,0.185
2010-02-10,0.2125
2010-05-12,0.2125
2010-08-11,0.2125
2010-11-10,0.2125
2011-02-11,0.245
2011-05-11,0.245
2011-08-11,0.245
2011-11-10,0.245
2012-02-13,0.2825
2012-05-11,0.2825
2012-08-13,0.2825
2012-11-13,0.2825
2013-02-13,0.315
2013-05-13,0.315
2013-08-13,0.315
2013-11-13,0.315
2014-02-12,0.35
2014-05-13,0.35
2014-08-13,0.35
2014-11-12,0.35
2015-02-11,0.465
2015-05-13,0.465
2015-08-12,0.465
2015-11-12,0.465
2016-02-11,0.53
2016-05-12,0.53
2016-08-11,0.53
2016-11-10,0.53
2017-02-13,0.583
2017-05-11,0.61
2017-08-11,0.61
2017-11-14,0.61
2018-02-14,0.671
2018-05-14,0.671
2018-08-14,0.671
2018-11-14,0.671
2019-02-14,0.738
2019-05-14,0.738
2019-08-14,0.738
2019-11-14,0.738
2020-02-13,0.81
2020-05-14,0.81
2020-08-13,0.81
2020-11-12,0.81
2021-02-11,0.835
2021-05-13,0.835
2021-08-12,0.835
2021-11-12,0.835
2022-02-14,0.86
