Date,Dividends
2002-12-16,2.9812763
2003-06-13,1.7262585
2003-12-10,3.37034
2004-06-10,2.5386667
2004-12-15,4.1904
2005-06-15,3.2
2005-12-14,4.5
2006-05-18,3.75
2006-12-13,4.8
2007-06-01,4.35
2007-11-29,5.35
2008-06-05,4.85
2008-12-01,5.8
2009-06-03,5.1
2009-12-09,5.9
2010-06-09,5.35
2010-12-09,6.0
2011-05-27,5.65
2011-12-13,6.1
2012-06-18,5.9
2012-12-10,6.2
2013-06-06,6.2
2013-12-04,6.3
2014-06-05,6.3
2014-12-03,6.4
2015-06-05,6.4
2015-12-02,6.5
2016-06-08,6.55
2016-11-30,6.55
2017-06-07,6.75
2017-11-30,6.8
2018-06-07,6.9
2018-11-30,7.0
2019-06-13,7.05
2019-12-05,7.15
2020-06-11,7.25
2020-12-08,7.5
2021-06-10,7.5
2021-12-08,7.8
