Date,Dividends
1982-01-04,0.002188
1982-04-02,0.002188
1982-07-02,0.0025
1982-10-04,0.0025
1983-01-04,0.0025
1983-04-05,0.0025
1983-07-01,0.002813
1983-10-04,0.002813
1984-01-04,0.002813
1984-04-04,0.002813
1984-07-09,0.002969
1984-10-03,0.002969
1985-01-04,0.002969
1985-04-03,0.002969
1985-07-03,0.003125
1985-10-04,0.003125
1986-01-06,0.0032
1986-04-04,0.0032
1986-07-03,0.0035
1986-10-06,0.0035
1987-01-05,0.0035
1987-04-06,0.0035
1987-07-06,0.0041
1987-10-05,0.0041
1987-12-31,0.004063
1988-01-04,0.0041
1988-04-05,0.0041
1988-07-05,0.0047
1988-10-03,0.0047
1989-01-04,0.0047
1989-04-04,0.0047
1989-07-03,0.0055
1989-10-03,0.0055
1990-01-04,0.0055
1990-04-04,0.0055
1990-07-03,0.0065
1990-10-03,0.0065
1991-01-04,0.0065
1991-04-04,0.0065
1991-07-03,0.0008
1991-10-04,0.0075
1992-01-06,0.0075
1992-04-06,0.0075
1992-07-09,0.0088
1992-10-05,0.0088
1993-01-04,0.0088
1993-04-02,0.0088
1993-07-02,0.0107
1993-10-04,0.0107
1994-01-03,0.0107
1994-04-04,0.0107
1994-07-01,0.0129
1994-10-07,0.0129
1994-12-30,0.0129
1995-04-03,0.0129
1995-07-05,0.0163
1995-10-04,0.0163
1996-01-03,0.0163
1996-04-02,0.0163
1996-07-02,0.0238
1996-10-09,0.0238
1997-01-08,0.0238
1997-04-02,0.0238
1997-07-01,0.0275
1997-10-08,0.0275
1998-01-07,0.0275
1998-04-07,0.0275
1998-06-30,0.0325
1998-10-07,0.0325
1999-01-06,0.0325
1999-04-07,0.0325
1999-06-30,0.04
1999-10-06,0.04
2000-01-05,0.04
2000-04-05,0.04
2000-07-05,0.05
2000-10-04,0.05
2000-12-19,0.0003
2001-01-03,0.05
2001-04-04,0.05
2001-07-03,0.0575
2001-10-03,0.0575
2002-01-02,0.0575
2002-04-03,0.0575
2002-07-02,0.0625
2002-10-02,0.0625
2002-12-31,0.0625
2003-04-02,0.0625
2003-07-01,0.0725
2003-10-01,0.0725
2003-12-30,0.0725
2004-03-31,0.0725
2004-06-30,0.0838
2004-09-29,0.0838
2005-01-05,0.0838
2005-03-30,0.0838
2005-06-29,0.0963
2005-10-05,0.0963
2006-01-04,0.0963
2006-04-05,0.0963
2006-07-05,0.11
2006-10-04,0.11
2007-01-03,0.11
2007-04-03,0.11
2007-07-03,0.125
2007-10-03,0.125
2008-01-02,0.125
2008-04-02,0.125
2008-07-01,0.1875
2008-10-01,0.1875
2008-12-30,0.1875
2009-04-01,0.1875
2009-07-08,0.205
2009-10-07,0.205
2010-01-06,0.205
2010-04-07,0.205
2010-07-07,0.225
2010-10-06,0.225
2011-01-05,0.225
2011-04-06,0.225
2011-07-06,0.2425
2011-10-05,0.2425
2012-01-04,0.2425
2012-04-03,0.2425
2012-07-03,0.26
2012-10-03,0.26
2012-12-13,0.26
2013-04-03,0.26
2013-07-02,0.28
2013-10-02,0.28
2013-12-31,0.28
2014-04-02,0.28
2014-07-01,0.305
2014-10-01,0.305
2014-12-30,0.305
2015-03-26,0.305
2015-06-25,0.38
2015-09-23,0.38
2015-12-22,0.38
2016-03-22,0.38
2016-07-06,0.43
2016-09-27,0.43
2016-12-21,0.43
2017-03-22,0.43
2017-07-05,0.46
2017-09-28,0.46
2017-12-28,0.46
2018-03-22,0.46
2018-07-05,0.5
2018-09-27,0.5
2018-12-27,0.5
2019-03-21,0.5
2019-07-05,0.54
2019-09-26,0.54
2019-12-26,0.54
2020-03-26,0.54
2020-06-25,0.58
2020-09-24,0.58
2020-12-21,0.58
2021-03-25,0.58
2021-06-24,0.63
2021-09-23,0.63
2021-12-21,0.63
2022-03-24,0.63
