Date,Dividends
1985-02-25,0.16305718
1985-05-24,0.16305718
1985-08-27,0.16898786
1985-11-25,0.16898786
1986-02-27,0.16898786
1986-05-27,0.16898786
1986-08-26,0.17491822
1986-11-24,0.17491822
1987-02-26,0.17491822
1987-05-26,0.17491822
1987-08-26,0.17931615
1987-11-24,0.17931615
1988-02-24,0.17931615
1988-05-25,0.17931615
1988-08-26,0.18378074
1988-11-25,0.18378074
1989-02-23,0.18378074
1989-05-25,0.18378074
1989-08-28,0.1897114
1989-11-27,0.1897114
1990-02-23,0.1897114
1990-05-25,0.1897114
1990-08-27,0.19270992
1990-11-26,0.19270992
1991-02-25,0.19270992
1991-05-24,0.19270992
1991-08-26,0.19564207
1991-11-22,0.19564207
1991-12-26,0.195556
1992-02-24,0.19566667
1992-05-26,0.19566667
1992-08-26,0.20233333
1992-11-24,0.20233333
1993-02-23,0.20233333
1993-05-25,0.20233333
1993-08-26,0.2068
1993-11-24,0.2068
1994-02-23,0.2068
1994-05-25,0.2068
1994-08-26,0.209
1994-11-25,0.20886667
1995-02-23,0.20886667
1995-05-25,0.20886667
1995-08-30,0.21113333
1995-11-29,0.21106666
1996-02-28,0.21106666
1996-05-29,0.21106666
1996-08-28,0.21333334
1996-11-26,0.21333334
1997-02-26,0.21333334
1997-05-28,0.21333334
1997-08-27,0.21553333
1997-11-26,0.21553333
1998-02-25,0.21553333
1998-05-28,0.21553333
1998-08-28,0.2172
1998-11-27,0.2172
1999-02-25,0.2172
1999-05-27,0.2172
1999-08-30,0.2172
1999-11-29,0.21886666
2000-02-28,0.21886666
2000-05-30,0.21886666
2000-08-30,0.22066666
2000-11-29,0.22053333
2001-02-27,0.22053333
2001-05-30,0.22053333
2001-08-29,0.222
2001-11-28,0.222
2002-02-27,0.2222
2002-05-29,0.2222
2002-08-28,0.22386667
2002-11-26,0.22386667
2003-03-04,0.22386667
2003-05-28,0.22386667
2003-08-27,0.22553334
2003-11-26,0.22553334
2004-02-26,0.22553334
2004-05-27,0.22553334
2004-08-30,0.2278
2004-11-29,0.2278
2005-02-25,0.2278
2005-05-27,0.2278
2005-08-30,0.23
2005-11-29,0.23
2006-02-27,0.23
2006-05-30,0.23
2006-08-30,0.2322
2006-11-29,0.23222
2007-02-27,0.2322
2007-05-30,0.2322
2007-08-29,0.23666666
2007-11-28,0.23666666
2008-02-27,0.23666666
2008-05-28,0.23666666
2008-08-27,0.24113333
2008-11-26,0.24113333
2009-02-25,0.24113333
2009-05-28,0.24113333
2009-08-28,0.2456
2009-11-27,0.2456
2010-02-25,0.2456
2010-05-27,0.2456
2010-08-30,0.25006667
2010-11-29,0.25006667
2011-02-25,0.25006667
2011-05-27,0.25006667
2011-08-30,0.25506666
2011-11-29,0.25506666
2012-02-28,0.25506666
2012-05-30,0.25506666
2012-08-29,0.2634
2012-11-28,0.2634
2013-02-27,0.2634
2013-05-29,0.2634
2013-08-28,0.27173334
2013-11-26,0.27173334
2014-02-26,0.2717
2014-05-28,0.2717
2014-08-27,0.2825
2014-11-26,0.2825
2015-02-25,0.2825
2015-05-28,0.2825
2015-08-28,0.295
2015-11-27,0.295
2016-02-26,0.295
2016-05-27,0.295
2016-08-30,0.3075
2016-11-29,0.3075
2017-02-27,0.3075
2017-05-30,0.3075
2017-08-30,0.3225
2017-11-30,0.3225
2018-02-28,0.3225
2018-05-31,0.3225
2018-08-30,0.3375
2018-11-29,0.3375
2019-02-28,0.3375
2019-05-30,0.3375
2019-08-29,0.3525
2019-11-27,0.3525
2020-02-27,0.3525
2020-05-29,0.3525
2020-08-31,0.37
2020-11-30,0.37
2021-02-26,0.37
2021-05-28,0.37
2021-08-31,0.3875
2021-11-30,0.3875
2022-02-28,0.3875
