Date,Dividends
1990-04-10,0.02
1990-07-11,0.02
1990-10-16,0.02
1991-01-15,0.02
1991-04-10,0.02
1991-07-09,0.02
1991-10-10,0.02
1992-01-10,0.02
1992-04-13,0.0225
1992-07-14,0.0225
1992-10-14,0.0225
1993-01-12,0.0225
1993-04-14,0.025
1993-07-13,0.025
1993-10-12,0.025
1994-01-13,0.025
1994-04-12,0.0275
1994-07-12,0.0275
1994-10-17,0.0275
1995-01-13,0.0275
1995-04-13,0.03
1995-07-13,0.03
1995-10-13,0.03
1996-01-12,0.03
1996-04-18,0.035
1996-07-11,0.035
1996-10-15,0.035
1997-01-15,0.035
1997-04-11,0.04
1997-07-14,0.04
1997-10-15,0.04
1998-01-14,0.04
1998-04-13,0.05
1998-07-14,0.05
1998-10-14,0.05
1999-01-13,0.05
1999-04-13,0.06
1999-07-13,0.06
1999-10-13,0.06
2000-01-12,0.06
2000-04-12,0.07
2000-07-12,0.07
2000-10-11,0.07
2001-01-10,0.07
2001-04-10,0.08
2001-07-11,0.08
2001-10-11,0.08
2002-01-11,0.08
2002-04-11,0.08
2002-07-11,0.09
2002-10-10,0.09
2003-01-13,0.09
2003-04-11,0.1
2003-07-11,0.1
2003-10-10,0.1
2004-01-13,0.1
2004-04-13,0.11
2004-07-13,0.11
2004-10-13,0.11
2005-01-12,0.11
2005-04-13,0.14
2005-07-13,0.14
2005-10-12,0.14
2006-01-11,0.14
2006-04-11,0.16
2006-07-12,0.16
2006-10-12,0.16
2007-01-10,0.16
2007-04-12,0.18
2007-07-12,0.18
2007-10-11,0.18
2008-01-11,0.18
2008-04-14,0.2
2008-07-14,0.2
2008-10-10,0.2
2009-01-13,0.2
2009-04-14,0.22
2009-07-14,0.22
2009-10-14,0.22
2010-01-13,0.22
2010-04-14,0.225
2010-07-14,0.225
2010-10-13,0.225
2011-01-12,0.225
2011-04-13,0.23
2011-07-13,0.23
2011-10-13,0.23
2012-01-12,0.23
2012-04-12,0.235
2012-07-13,0.235
2012-10-15,0.235
2013-01-15,0.235
2013-04-12,0.24
2013-07-15,0.24
2013-10-17,0.24
2014-01-15,0.24
2014-04-14,0.245
2014-07-15,0.245
2014-10-15,0.245
2015-01-14,0.245
2015-04-14,0.25
2015-07-15,0.25
2015-10-14,0.25
2016-01-13,0.25
2016-04-13,0.255
2016-07-13,0.255
2016-10-13,0.255
2017-01-12,0.255
2017-04-11,0.26
2017-07-13,0.26
2017-10-16,0.26
2018-01-16,0.26
2018-04-13,0.34
2018-07-16,0.34
2018-10-16,0.34
2019-01-16,0.34
2019-04-12,0.375
2019-07-16,0.375
2019-10-16,0.375
2020-01-16,0.375
2020-04-14,0.42
2020-07-16,0.42
2020-10-15,0.42
2021-01-14,0.42
2021-04-14,0.435
2021-07-15,0.435
2021-10-14,0.435
2022-01-13,0.435
2022-01-14,0.435
