Date,Dividends
1973-02-21,0.017188
1983-08-22,0.05625
1983-11-21,0.05625
1984-02-17,0.05625
1984-05-22,0.05875
1984-08-22,0.05875
1984-11-26,0.05875
1985-02-22,0.05875
1985-05-24,0.06125
1985-08-26,0.06125
1985-11-22,0.06125
1986-02-24,0.06125
1986-05-23,0.06375
1986-08-25,0.06375
1986-11-21,0.06375
1987-03-02,0.06375
1987-05-22,0.06625
1987-08-25,0.06625
1987-11-23,0.06625
1988-02-29,0.06625
1988-05-23,0.06875
1988-08-22,0.06875
1988-11-21,0.06875
1989-02-17,0.06875
1989-05-16,0.07125
1989-08-28,0.07125
1989-11-28,0.07125
1990-02-22,0.07125
1990-05-24,0.07375
1990-08-27,0.07375
1990-12-03,0.07375
1991-02-22,0.07375
1991-05-24,0.075
1991-08-26,0.075
1991-11-27,0.075
1992-02-24,0.075
1992-05-22,0.07625
1992-08-24,0.07625
1992-11-20,0.07625
1993-02-26,0.07625
1993-05-24,0.0775
1993-08-23,0.0775
1993-11-19,0.0775
1994-02-18,0.0775
1994-05-23,0.0525
1994-08-22,0.0525
1994-11-18,0.0525
1995-02-17,0.055
1995-05-22,0.055
1995-08-23,0.055
1995-11-21,0.055
1996-02-21,0.0575
1996-05-29,0.0575
1996-08-28,0.0575
1996-11-26,0.0575
1997-02-26,0.06
1997-05-28,0.06
1997-08-27,0.06
1997-11-25,0.06
1998-02-25,0.0625
1998-05-27,0.0625
1998-08-26,0.0625
1998-11-24,0.0625
1999-02-24,0.065
1999-05-26,0.065
1999-08-25,0.065
1999-11-23,0.065
2000-02-23,0.0675
2000-05-24,0.0675
2000-08-23,0.0675
2000-11-21,0.0675
2001-02-21,0.07
2001-05-23,0.07
2001-08-29,0.07
2001-11-28,0.07
2002-02-20,0.0725
2002-06-05,0.0725
2002-08-28,0.0725
2002-11-26,0.0725
2003-02-26,0.075
2003-06-04,0.075
2003-08-27,0.075
2003-11-25,0.075
2004-02-25,0.0775
2004-06-02,0.0775
2004-08-25,0.085
2004-11-23,0.085
2005-03-02,0.08875
2005-06-01,0.08875
2005-08-24,0.08875
2005-11-22,0.08875
2006-03-03,0.09375
2006-06-07,0.09375
2006-08-23,0.09375
2006-11-21,0.09375
2007-02-28,0.1025
2007-06-06,0.1025
2007-08-29,0.1025
2007-11-28,0.1025
2008-02-27,0.11125
2008-06-04,0.11125
2008-08-27,0.11125
2008-11-25,0.11125
2009-02-25,0.118125
2009-06-03,0.118125
2009-08-26,0.118125
2009-11-24,0.118125
2010-02-24,0.125
2010-06-02,0.125
2010-08-25,0.125
2010-11-23,0.125
2011-03-02,0.1375
2011-06-01,0.1375
2011-08-24,0.1375
2011-11-22,0.1375
2012-02-29,0.15
2012-05-31,0.15
2012-08-29,0.15
2012-11-28,0.15
2013-02-27,0.165
2013-05-30,0.165
2013-08-28,0.165
2013-11-26,0.165
2014-02-26,0.18125
2014-05-29,0.18125
2014-08-27,0.18125
2014-11-25,0.18125
2015-02-25,0.1925
2015-05-27,0.1925
2015-08-26,0.1925
2015-11-24,0.1925
2016-02-24,0.2175
2016-05-26,0.2175
2016-08-26,0.2175
2016-11-22,0.2175
2016-11-23,0.87
2017-02-24,0.245625
2017-05-25,0.245625
2017-08-23,0.245625
2017-11-22,0.245625
2018-02-26,0.2775
2018-06-04,0.2775
2018-08-29,0.2775
2018-11-29,0.2775
2019-02-27,0.3125
2019-05-31,0.3125
2019-08-28,0.3125
2019-11-27,0.3125
2020-02-27,0.35
2020-06-01,0.35
2020-08-27,0.35
2020-11-25,0.35
2021-02-25,0.385
2021-06-01,0.385
2021-08-26,0.385
2021-11-24,0.385
2022-02-28,0.425
