Date,Dividends
1986-12-09,0.064444
1987-03-10,0.064444
1987-06-09,0.068889
1987-09-09,0.068889
1987-12-09,0.068889
1988-03-09,0.068889
1988-06-15,0.073333
1988-09-09,0.073333
1988-12-09,0.073333
1989-03-09,0.073333
1989-06-09,0.077778
1989-09-11,0.07777778
1989-12-11,0.11675111
1990-03-09,0.11675111
1990-06-11,0.1234
1990-09-10,0.1234
1990-12-10,0.1234
1991-03-11,0.1234
1991-06-10,0.12675111
1991-09-10,0.12675111
1991-12-10,0.12675111
1992-03-10,0.12675111
1992-06-09,0.12675111
1992-09-09,0.12675111
1992-12-09,0.12675111
1993-03-09,0.12675111
1993-06-09,0.12675111
1993-09-09,0.12675111
1993-12-09,0.12675111
1994-03-09,0.12675111
1994-06-09,0.084444
1994-06-10,0.12675111
1994-09-19,0.12675111
1994-12-09,0.08443333
1995-03-09,0.08443333
1995-06-13,0.08443333
1995-09-13,0.08443333
1995-12-13,0.08443333
1996-03-13,0.086666666
1996-06-12,0.086666666
1996-09-12,0.086666666
1996-12-12,0.0889
1997-03-12,0.0889
1997-06-12,0.0889
1997-09-11,0.0889
1997-12-11,0.0911
1998-03-12,0.0911
1998-06-11,0.0911
1998-09-11,0.0911
1998-12-11,0.093333334
1999-03-11,0.093333334
1999-06-11,0.093333334
1999-09-13,0.093333334
1999-12-13,0.09556667
2000-03-13,0.09556667
2000-06-13,0.09556667
2000-09-13,0.09556667
2000-12-13,0.09776667
2001-03-13,0.09776667
2001-06-13,0.09776667
2001-09-12,0.09776667
2001-12-12,0.1
2002-03-13,0.1
2002-06-12,0.1
2002-09-12,0.1
2002-12-12,0.10333333
2003-03-12,0.10333333
2003-06-12,0.10333333
2003-09-11,0.10333333
2003-12-11,0.108333334
2004-03-11,0.108333334
2004-06-14,0.108333334
2004-09-13,0.108333334
2004-12-13,0.11333334
2005-03-11,0.11333334
2005-06-13,0.11333334
2005-09-13,0.11333334
2005-12-13,0.12
2006-03-13,0.12
2006-06-13,0.12
2006-09-13,0.12
2006-12-13,0.12666667
2007-03-13,0.12666667
2007-06-13,0.12666667
2007-09-12,0.12666667
2007-12-12,0.13333334
2008-03-12,0.14
2008-06-11,0.14
2008-09-11,0.14
2008-12-11,0.155
2009-03-11,0.155
2009-06-11,0.155
2009-09-11,0.155
2009-12-11,0.17
2010-03-11,0.17
2010-06-11,0.17
2010-09-13,0.17
2010-12-13,0.18
2011-03-11,0.18
2011-06-13,0.18
2011-09-13,0.18
2011-12-13,0.19
2012-03-13,0.19
2012-06-13,0.19
2012-09-12,0.19
2012-09-20,0.2
2012-12-12,0.2
2013-03-13,0.2
2013-06-12,0.2
2013-09-19,0.21
2013-12-11,0.21
2014-03-12,0.21
2014-06-11,0.21
2014-09-18,0.225
2014-12-11,0.225
2015-03-11,0.225
2015-06-11,0.225
2015-09-11,0.24
2015-12-11,0.24
2016-03-11,0.24
2016-06-13,0.24
2016-09-21,0.255
2016-12-13,0.255
2017-03-13,0.255
2017-06-13,0.255
2017-09-21,0.2725
2017-12-14,0.2725
2018-03-14,0.2725
2018-06-14,0.2725
2018-09-20,0.2925
2018-12-13,0.2925
2019-03-14,0.2925
2019-06-14,0.2925
2019-09-19,0.3125
2019-12-18,0.3125
2020-03-16,0.3125
2020-06-15,0.3125
2020-09-21,0.3325
2020-12-15,0.3325
2021-03-16,0.3325
2021-06-15,0.3325
2021-09-17,0.3625
2021-12-14,0.3625
2022-03-15,0.3625
