Date,Dividends
1992-04-20,0.005
1992-06-23,0.005
1992-10-05,0.005
1993-01-19,0.005
1993-05-04,0.005
1993-06-29,0.005
1993-08-30,0.0075
1994-01-10,0.0075
1994-04-12,0.0075
1994-07-01,0.0075
1994-10-03,0.0125
1995-01-09,0.0125
1995-04-26,0.0125
1995-07-05,0.0125
1995-10-11,0.0188
1996-01-17,0.0188
1996-04-12,0.0175
1996-07-10,0.01875
1996-07-12,0.0188
1996-10-15,0.0225
1997-01-08,0.0225
1997-04-09,0.0225
1997-07-16,0.0225
1997-10-15,0.03
1998-01-07,0.03
1998-04-07,0.03
1998-07-13,0.03
1998-10-13,0.03
1999-01-12,0.0325
1999-04-14,0.0325
1999-07-14,0.0325
1999-10-12,0.0325
2000-01-12,0.035
2000-04-12,0.035
2000-07-13,0.035
2000-10-13,0.035
2001-01-10,0.0375
2001-04-10,0.0375
2001-07-13,0.0375
2001-10-15,0.0375
2002-01-11,0.0413
2002-04-12,0.0413
2002-07-12,0.0413
2002-10-10,0.0413
2003-01-15,0.0438
2003-04-14,0.0438
2003-07-15,0.0438
2003-10-15,0.0438
2004-01-14,0.0482
2004-04-14,0.0482
2004-07-14,0.0482
2004-10-13,0.0482
2005-01-12,0.0532
2005-04-13,0.0532
2005-07-13,0.0532
2005-10-12,0.0531
2006-01-11,0.0588
2006-04-11,0.0588
2006-07-12,0.0588
2006-10-11,0.05875
2007-01-10,0.065
2007-04-11,0.065
2007-07-11,0.065
2007-10-10,0.065
2008-01-09,0.0725
2008-04-09,0.0725
2008-07-09,0.0725
2008-10-08,0.0725
2009-01-07,0.0825
2009-04-07,0.0825
2009-07-08,0.0825
2009-10-07,0.0825
2010-01-06,0.095
2010-04-07,0.095
2010-07-07,0.095
2010-10-06,0.095
2011-01-05,0.11
2011-04-06,0.11
2011-07-06,0.11
2011-10-05,0.11
2012-01-04,0.1375
2012-04-11,0.1375
2012-07-11,0.1375
2012-10-10,0.1375
2012-12-19,0.165
2013-04-10,0.165
2013-07-10,0.165
2013-10-09,0.165
2014-01-08,0.2
2014-04-09,0.2
2014-07-09,0.2
2014-10-08,0.2
2015-01-07,0.25
2015-04-08,0.25
2015-07-08,0.25
2015-10-07,0.25
2016-01-06,0.3
2016-04-06,0.3
2016-07-06,0.3
2016-10-05,0.3
2017-01-05,0.35
2017-04-05,0.35
2017-07-05,0.35
2017-10-05,0.35
2018-01-08,0.4125
2018-04-06,0.4125
2018-07-06,0.4125
2018-10-04,0.4125
2019-01-08,0.4625
2019-04-05,0.4625
2019-07-05,0.4625
2019-10-03,0.4625
2020-01-08,0.5125
2020-04-07,0.5125
2020-07-07,0.5125
2020-10-05,0.5125
2021-01-07,0.5625
2021-04-01,0.5625
2021-07-07,0.5625
2021-10-05,0.5625
2022-01-07,0.62
