Date,Dividends
1962-05-14,0.006555
1962-08-13,0.006555
1962-11-09,0.006555
1963-02-08,0.006555
1963-05-20,0.006555
1963-08-07,0.006411
1963-08-22,0.006555
1963-11-08,0.006555
1964-02-07,0.006555
1964-05-18,0.006555
1964-08-17,0.006555
1964-11-06,0.006555
1965-02-16,0.006555
1965-05-17,0.006555
1965-08-16,0.006555
1965-11-08,0.007867
1966-02-09,0.007867
1966-05-16,0.007867
1966-08-10,0.007867
1966-11-14,0.007867
1967-05-15,0.007867
1967-08-14,0.007867
1967-11-13,0.007867
1968-02-16,0.007867
1968-05-20,0.007867
1968-08-20,0.00885
1968-11-19,0.00885
1969-02-13,0.00885
1969-05-19,0.00885
1969-08-19,0.00885
1969-11-17,0.00885
1970-02-17,0.00885
1970-05-18,0.00885
1970-08-17,0.00885
1970-11-16,0.00885
1971-02-11,0.00885
1971-05-12,0.00885
1971-08-17,0.00885
1971-11-16,0.00885
1972-02-18,0.00885
1972-05-15,0.00885
1972-08-15,0.00885
1972-11-14,0.00885
1973-02-16,0.00885
1973-05-18,0.00885
1973-08-07,0.00885
1973-11-16,0.00885
1974-02-19,0.00885
1974-05-20,0.009833
1974-08-15,0.009833
1974-11-18,0.009833
1975-02-18,0.009833
1975-05-19,0.009833
1975-08-11,0.009833
1975-11-07,0.009833
1976-02-19,0.011308
1976-05-26,0.0118
1976-08-16,0.0118
1976-11-05,0.0118
1977-02-17,0.0118
1977-05-25,0.0177
1977-08-23,0.0177
1977-11-17,0.0177
1978-02-17,0.019666
1978-05-19,0.019666
1978-08-21,0.019666
1978-11-17,0.019666
1979-02-16,0.021633
1979-05-21,0.021633
1979-08-20,0.021633
1979-11-16,0.021633
1980-02-15,0.021633
1980-05-19,0.021633
1980-08-25,0.021633
1980-11-17,0.021633
1981-02-13,0.0236
1981-05-18,0.0236
1981-08-24,0.0236
1981-11-16,0.0236
1982-02-11,0.0236
1982-05-17,0.0236
1982-08-23,0.0236
1982-11-15,0.0236
1983-02-18,0.0236
1983-05-16,0.025566
1983-08-15,0.025566
1983-11-14,0.025566
1984-02-17,0.025566
1984-05-21,0.027533
1984-08-20,0.027533
1984-11-16,0.027533
1985-02-15,0.0438
1985-05-20,0.0438
1985-08-19,0.0438
1985-11-18,0.0438
1986-02-14,0.0438
1986-05-19,0.0438
1986-08-18,0.0438
1986-11-17,0.0438
1987-02-13,0.0438
1987-05-18,0.0438
1987-08-17,0.0438
1987-11-16,0.0438
1988-02-12,0.0438
1988-05-16,0.05
1988-08-22,0.05
1988-11-14,0.05
1989-02-13,0.05
1989-05-22,0.05
1989-08-21,0.05
1989-11-16,0.05
1990-02-16,0.0563
1990-05-21,0.0563
1990-08-20,0.0563
1990-11-15,0.0563
1991-02-19,0.0563
1991-05-20,0.0563
1991-08-19,0.0563
1991-11-18,0.0563
1992-02-24,0.0125
1992-05-18,0.0563
1992-08-17,0.0563
1992-11-16,0.0563
1993-02-22,0.0563
1993-05-17,0.0563
1993-08-16,0.0563
1993-11-15,0.0563
1994-02-23,0.0563
1994-05-16,0.0563
1994-08-15,0.0625
1994-11-14,0.0625
1995-02-17,0.0625
1995-05-15,0.0625
1995-08-16,0.0625
1995-11-15,0.0688
1996-02-21,0.0688
1996-05-22,0.0688
1996-08-21,0.0688
1996-11-20,0.0688
1997-02-19,0.0775
1997-05-21,0.0775
1997-08-20,0.0775
1997-11-19,0.0775
1998-02-18,0.0775
1998-05-20,0.09
1998-08-19,0.09
1998-11-18,0.09
1999-02-17,0.09
1999-05-05,0.09
1999-08-25,0.1
1999-11-17,0.1
2000-02-16,0.1
2000-05-17,0.1
2000-08-23,0.1
2000-11-15,0.1125
2001-02-14,0.1125
2001-05-16,0.1125
2001-08-22,0.1125
2001-11-14,0.1125
2002-02-13,0.1225
2002-05-15,0.1225
2002-08-21,0.1225
2002-11-13,0.1225
2003-02-12,0.1225
2003-05-14,0.135
2003-08-20,0.135
2003-11-12,0.175
2004-02-18,0.175
2004-05-19,0.175
2004-08-18,0.175
2004-11-17,0.175
2005-02-16,0.22
2005-05-18,0.22
2005-08-17,0.22
2005-11-16,0.22
2006-02-15,0.22
2006-05-17,0.265
2006-08-16,0.265
2006-11-15,0.265
2007-02-14,0.265
2007-05-16,0.265
2007-08-15,0.32
2007-11-14,0.32
2008-02-13,0.32
2008-05-14,0.32
2008-08-13,0.32
2008-11-12,0.385
2009-02-18,0.385
2009-05-13,0.385
2009-08-19,0.385
2009-11-18,0.385
2010-02-17,0.425
2010-05-12,0.425
2010-08-18,0.425
2010-11-17,0.425
2011-02-16,0.425
2011-05-18,0.48
2011-08-17,0.48
2011-11-16,0.48
2012-02-15,0.48
2012-05-16,0.48
2012-08-15,0.535
2012-11-14,0.535
2013-02-13,0.535
2013-05-15,0.535
2013-08-14,0.535
2013-11-13,0.59
2014-02-12,0.59
2014-05-14,0.59
2014-08-13,0.59
2014-11-12,0.59
2015-02-11,0.64
2015-05-13,0.64
2015-08-12,0.64
2015-11-10,0.64
2016-02-17,0.64
2016-05-18,0.66
2016-08-17,0.66
2016-11-16,0.66
2017-02-15,0.66
2017-05-17,0.66
2017-08-16,0.7
2017-11-16,0.7
2018-02-15,0.7
2018-05-17,0.7
2018-08-16,0.7
2018-11-15,0.735
2019-02-14,0.735
2019-05-16,0.735
2019-08-15,0.735
2019-11-14,0.735
2020-02-13,0.735
2020-05-14,0.475
2020-08-13,0.475
2020-11-12,0.475
2021-02-25,0.475
2021-05-20,0.51
2021-08-19,0.51
2021-11-18,0.51
2022-02-24,0.51
