Date,Dividends
1998-06-18,0.017438034
1998-09-10,0.0166604
1998-11-27,0.018253952
1999-03-18,0.018253952
1999-06-11,0.018253952
1999-09-10,0.018252505
1999-12-02,0.019176785
2000-03-09,0.019176785
2000-06-13,0.019178811
2000-08-31,0.019178811
2000-11-30,0.010668412
2001-03-16,0.025555918
2001-06-07,0.025555918
2001-08-29,0.025555918
2001-09-17,0.032627
2001-11-29,0.0328828
2002-03-01,0.0328828
2002-06-03,0.009343464
2002-08-30,0.032854546
2002-11-29,0.0147923315
2003-03-03,0.039410084
2003-06-02,0.039410084
2003-09-02,0.049284704
2003-12-01,0.051749017
2004-03-02,0.051749017
2004-06-01,0.051749017
2004-08-31,0.051738616
2004-11-30,0.010843391
2005-03-04,0.056927796
2005-05-31,0.062768884
2005-08-30,0.062768884
2005-11-29,0.011379856
2006-03-07,0.059780177
2006-05-30,0.065883376
2006-08-29,0.065883376
2006-11-28,0.017968193
2007-03-13,0.065883376
2007-05-29,0.07546641
2007-08-28,0.07546641
2007-11-27,0.018866602
2008-03-04,0.07546641
2008-05-27,0.08584304
2008-08-26,0.10565297
2008-11-24,0.039619867
2009-03-03,0.08584304
2009-05-26,0.09706867
2009-08-25,0.09706867
2009-11-23,0.13866952
2010-03-02,0.1178691
2010-05-25,0.123762555
2010-08-24,0.123762555
2010-11-22,0.123762555
2011-03-01,0.123762555
2011-05-24,0.12995069
2011-08-23,0.13759483
2011-11-21,0.15288316
2012-02-28,0.13759483
2012-04-16,0.160282
2012-05-22,0.16052732
2012-08-21,0.16052732
2012-11-19,0.26487008
2013-02-26,0.16052732
2013-05-21,0.16855368
2013-08-20,0.16855368
2013-11-19,0.08427684
2014-02-25,0.17698136
2014-05-20,0.18583043
2014-08-19,0.1946795
2014-11-18,0.08849068
2015-02-24,0.20352857
2015-05-19,0.21370499
2015-08-18,0.21370499
2015-11-17,0.07433217
2016-02-23,0.21370499
2016-05-17,0.22299652
2016-08-16,0.23414634
2016-11-15,0.048780486
2017-02-21,0.24390244
2017-05-16,0.27317074
2017-08-15,0.28
2017-11-15,0.02
2018-02-21,0.28
2018-05-23,0.3
2018-08-22,0.3
2018-11-20,0.02
2019-02-20,0.3
2019-05-22,0.31
2019-08-21,0.31
2019-11-26,0.03
2020-02-19,0.31
2020-05-20,0.31
2020-08-19,0.31
2020-11-24,0.05
2021-02-17,0.32
2021-05-19,0.33
2021-08-18,0.33
2021-11-23,0.06
2022-02-16,0.34
