Date,Dividends
1991-12-24,0.0063
1992-12-24,0.0075
1993-12-27,0.0088
1994-12-23,0.01
1995-12-27,0.01125
1996-12-27,0.025
1997-12-29,0.0275
1998-12-29,0.03
1999-12-29,0.0325
2000-12-27,0.04
2001-12-27,0.05
2002-12-27,0.06
2003-12-29,0.07
2004-12-29,0.09
2005-12-28,0.11
2006-12-27,0.22
2007-12-27,0.33
2008-12-29,0.4
2009-11-16,0.1
2009-12-28,0.15
2010-03-26,0.15
2010-06-28,0.15
2010-09-28,0.15
2010-12-29,0.18
2011-03-29,0.18
2011-06-28,0.18
2011-09-28,0.18
2011-12-27,0.2125
2012-03-28,0.2125
2012-06-27,0.2125
2012-09-26,0.2125
2012-12-27,0.265
2013-03-26,0.265
2013-06-26,0.265
2013-09-26,0.265
2013-12-27,0.305
2014-03-27,0.305
2014-06-26,0.305
2014-09-26,0.305
2014-12-29,0.345
2015-03-27,0.345
2015-06-26,0.345
2015-09-28,0.345
2015-12-29,0.38
2016-03-29,0.38
2016-06-28,0.38
2016-09-28,0.38
2016-12-28,0.425
2017-03-29,0.425
2017-06-28,0.425
2017-09-28,0.425
2017-12-28,0.47
2018-03-28,0.47
2018-06-28,0.47
2018-09-27,0.47
2018-12-28,0.52
2019-03-28,0.52
2019-06-27,0.52
2019-09-27,0.52
2019-12-30,0.575
2020-03-30,0.575
2020-06-29,0.575
2020-09-29,0.575
2020-12-30,0.63
2021-03-30,0.63
2021-06-29,0.63
2021-09-29,0.63
2021-12-30,0.695
2022-03-30,0.695
