Date,Dividends
1986-06-16,0.03443469
1986-09-15,0.04015864
1986-12-15,0.020260122
1987-03-16,0.040158745
1987-06-15,0.040158745
1987-09-14,0.04042751
1987-12-14,0.022437662
1988-03-14,0.04415235
1988-06-20,0.04415235
1988-09-19,0.04415235
1988-11-25,0.045610294
1989-02-23,0.045610294
1989-05-25,0.04679149
1989-08-28,0.052721832
1989-11-27,0.054272432
1990-02-23,0.056272388
1990-05-25,0.056272388
1990-08-27,0.06036327
1990-11-01,0.072627
1990-11-26,0.06218734
1991-02-25,0.06218734
1991-05-24,0.06218734
1991-08-26,0.066278644
1991-11-22,0.07455233
1992-02-24,0.07455233
1992-05-26,0.07455233
1992-08-26,0.08291671
1992-11-24,0.09119001
1993-02-23,0.09119001
1993-05-25,0.099463694
1993-08-26,0.103555
1993-11-02,0.113699
1993-11-24,0.11391009
1994-02-23,0.11391009
1994-05-25,0.11391009
1994-08-26,0.11391009
1994-11-25,0.10345377
1995-02-23,0.10772571
1995-05-25,0.10772571
1995-08-30,0.10772571
1995-11-29,0.10472873
1996-02-28,0.1183635
1996-05-29,0.122910544
1996-08-28,0.122910544
1996-11-26,0.13663456
1997-02-26,0.13663456
1997-05-28,0.13663456
1997-08-27,0.14572775
1997-11-26,0.14572775
1998-02-25,0.14572775
1998-05-28,0.15026979
1998-08-28,0.1570931
1998-11-27,0.17072605
1999-02-25,0.17072605
1999-05-27,0.17072605
1999-08-30,0.17763814
1999-11-29,0.18445462
2000-02-28,0.18445462
2000-05-30,0.18445462
2000-08-30,0.18445462
2000-11-29,0.18445462
2001-01-30,0.18445462
2001-04-27,0.18445462
2001-07-30,0.19127108
2001-10-30,0.19127108
2002-02-01,0.19127108
2002-05-01,0.19127108
2002-08-01,0.20491086
2002-11-01,0.20491086
2003-02-05,0.20491086
2003-05-01,0.20491086
2003-08-01,0.22536439
2003-11-03,0.22539444
2004-02-04,0.22536439
2004-05-04,0.22536439
2004-08-04,0.22536439
2004-11-03,0.22536439
2005-02-02,0.24790908
2005-05-02,0.24790908
2005-08-03,0.24790908
2005-11-02,0.24790908
2006-02-01,0.24790908
2006-05-01,0.27272728
2006-08-01,0.27272728
2006-11-01,0.27272728
2007-01-31,0.27272728
2007-05-02,0.27272728
2007-07-31,0.29090908
2007-10-31,0.29090908
2008-02-06,0.29090908
2008-05-01,0.29090908
2008-07-31,0.3090909
2008-11-05,0.3090909
2009-02-05,0.3090909
2009-05-06,0.3090909
2009-08-05,0.3090909
2009-11-04,0.3090909
2010-02-03,0.309091
2010-05-05,0.34
2010-08-04,0.34
2010-11-03,0.34
2011-02-02,0.34
2011-05-04,0.34
2011-08-03,0.36
2011-11-02,0.36
2012-02-02,0.36
2012-05-03,0.36
2012-08-02,0.36
2012-11-01,0.38
2013-01-31,0.38
2013-05-02,0.38
2013-07-25,0.38
2013-10-31,0.4
2014-01-30,0.4
2014-05-01,0.4
2014-07-31,0.4
2014-10-31,0.42
2015-02-05,0.42
2015-05-01,0.42
2015-08-06,0.42
2015-11-05,0.44
2016-02-05,0.44
2016-04-29,0.44
2016-07-29,0.44
2016-11-04,0.45
2017-02-03,0.45
2017-05-04,0.45
2017-07-28,0.45
2017-11-06,0.47
2018-02-05,0.48
2018-05-07,0.48
2018-07-31,0.48
2018-11-05,0.5
2019-02-04,0.5
2019-05-06,0.5
2019-07-29,0.5
2019-10-28,0.52
2020-02-07,0.52
2020-05-08,0.52
2020-07-31,0.52
2020-11-02,0.54
2021-02-08,0.54
2021-05-10,0.54
2021-08-02,0.54
2021-11-01,0.57
2022-02-07,0.57
