Date,Dividends
1986-06-23,0.0013
1986-09-22,0.0013
1986-12-19,0.0032
1987-03-23,0.0032
1987-06-22,0.0032
1987-09-21,0.0032
1987-12-24,0.0044
1988-03-21,0.0044
1988-06-20,0.0044
1988-09-26,0.0044
1988-12-23,0.0066
1989-03-22,0.0066
1989-06-16,0.0066
1989-09-22,0.0066
1989-12-22,0.0094
1990-03-16,0.0094
1990-06-15,0.0094
1990-09-24,0.0094
1990-12-20,0.01
1991-03-18,0.01
1991-06-17,0.01
1991-09-23,0.01
1991-12-20,0.0113
1992-03-23,0.0113
1992-06-19,0.0113
1992-09-24,0.0113
1992-12-21,0.0132
1993-03-19,0.0132
1993-06-18,0.0132
1993-09-24,0.0132
1993-12-23,0.0163
1994-03-18,0.0163
1994-06-17,0.0163
1994-09-26,0.0163
1994-12-22,0.02
1995-03-20,0.02
1995-06-20,0.02
1995-09-27,0.02
1995-12-26,0.0263
1996-03-20,0.02625
1996-03-26,0.0263
1996-06-20,0.02625
1996-09-25,0.02625
1996-12-24,0.0263
1996-12-25,0.0263
1996-12-26,0.0325
1997-03-19,0.0325
1997-06-19,0.0325
1997-09-24,0.0325
1997-12-24,0.0425
1998-03-19,0.0425
1998-06-18,0.0425
1998-09-23,0.0425
1998-12-23,0.05
1999-03-23,0.05
1999-06-21,0.05
1999-09-22,0.05
1999-12-23,0.065
2000-03-22,0.065
2000-06-21,0.065
2000-09-20,0.065
2000-12-27,0.075
2001-03-21,0.075
2001-06-20,0.075
2001-09-19,0.075
2001-12-24,0.08
2002-03-19,0.08
2002-06-19,0.08
2002-09-25,0.08
2002-12-24,0.085
2003-03-19,0.085
2003-06-18,0.085
2003-09-24,0.085
2003-12-23,0.095
2004-03-19,0.095
2004-06-23,0.095
2004-09-23,0.095
2004-12-22,0.115
2005-03-22,0.115
2005-06-22,0.115
2005-09-22,0.115
2005-12-28,0.14
2006-03-22,0.14
2006-06-22,0.14
2006-09-26,0.14
2006-12-27,0.17
2007-03-21,0.17
2007-06-20,0.17
2007-09-19,0.17
2007-12-26,0.24
2008-03-12,0.24
2008-06-12,0.24
2008-09-11,0.24
2008-12-16,0.24
2009-03-12,0.25
2009-06-11,0.25
2009-09-10,0.25
2009-12-11,0.25
2010-03-12,0.27
2010-06-10,0.27
2010-09-10,0.27
2010-12-10,0.27
2011-03-11,0.31
2011-06-10,0.31
2011-09-12,0.31
2011-12-12,0.31
2012-03-13,0.34
2012-06-12,0.34
2012-09-11,0.34
2012-12-12,0.34
2012-12-13,1.0
2013-03-11,0.38
2013-06-11,0.38
2013-09-11,0.38
2013-12-12,0.38
2014-03-12,0.44
2014-06-11,0.44
2014-09-11,0.44
2014-12-12,0.44
2015-03-12,0.52
2015-04-07,2.0
2015-06-11,0.52
2015-09-11,0.52
2015-12-14,0.52
2016-03-14,0.54
2016-06-13,0.54
2016-09-13,0.54
2016-12-13,0.54
2017-03-14,0.57
2017-06-13,0.57
2017-09-13,0.57
2017-12-13,0.57
2018-03-14,0.7
2018-06-14,0.7
2018-09-13,0.7
2018-12-13,0.7
2019-03-14,0.76
2019-06-13,0.76
2019-09-12,0.76
2019-12-13,0.76
2020-03-13,0.9
2020-06-12,0.9
2020-09-14,0.9
2020-12-14,0.9
2021-03-15,1.08
2021-06-14,1.08
2021-06-24,3.0
2021-09-14,1.08
2021-12-15,1.08
2022-03-14,1.2
