Date,Dividends
1985-03-15,0.002933334
1986-03-17,0.0029922938
1987-03-16,0.00405066
1988-03-11,0.0046968134
1989-03-10,0.004814814
1990-03-09,0.0052631316
1991-03-12,0.0051093358
1992-03-12,0.00616703
1992-09-22,0.010079
1999-03-05,0.025836213
2001-03-02,0.03654314
2001-06-14,1e-10
2001-09-26,1e-10
2001-12-13,1e-10
2002-03-01,8e-10
2002-06-13,8e-10
2002-09-25,8e-10
2002-12-18,8e-10
2003-02-28,7.6e-09
2003-06-13,7.6e-09
2003-09-24,7.6e-09
2003-12-17,7.6e-09
2004-02-27,1.112e-07
2004-06-14,1.112e-07
2004-09-29,1.112e-07
2004-12-15,1.112e-07
2005-03-09,1.6362e-06
2005-06-10,1.6856e-06
2005-10-05,1.6856e-06
2005-12-14,1.9263e-06
2006-03-08,2.47911e-05
2006-06-13,2.5525e-05
2006-10-04,2.5525e-05
2006-12-13,2.5525e-05
2007-03-07,0.0003286332
2007-06-14,0.0003286332
2007-10-03,0.0003286332
2007-12-13,0.0003286332
2008-03-06,0.004231154
2008-06-16,0.004231154
2008-10-01,0.004231154
2008-12-18,0.0043580886
2009-03-06,0.05447611
2009-06-16,0.05447611
2009-10-01,0.05447611
2009-12-17,0.05447611
2010-03-05,0.054476175
2010-06-22,0.05611039
2010-09-30,0.05611039
2010-12-16,0.05611039
2011-03-04,0.05611046
2011-06-21,0.057793703
2011-09-29,0.057793703
2011-12-15,0.057793703
2012-03-02,0.057793774
2012-06-14,0.059527513
2012-09-27,0.059527513
2012-12-13,0.37204695
2013-03-01,0.059527587
2013-06-13,0.06131334
2013-10-03,0.06131334
2013-12-19,0.06131334
2014-02-28,0.061313417
2014-06-12,0.06315274
2014-10-02,0.06315274
2014-12-18,0.06315274
2015-03-06,0.061313603
2015-06-11,0.07317824
2015-10-01,0.07317824
2015-12-17,0.07317824
2016-03-04,0.07073894
2016-06-16,0.07537358
2016-10-05,0.07537358
2016-12-15,0.07537358
2017-03-03,0.07317855
2017-06-15,0.07763479
2017-09-29,0.07763479
2017-12-15,0.07763479
2018-03-05,0.07996383
2018-06-15,0.07996383
2018-10-04,0.07996383
2018-12-14,0.07996383
2019-03-04,0.08236275
2019-06-14,0.08236275
2019-10-04,0.08236275
2019-12-19,0.08236275
2020-03-02,0.08236309
2020-06-12,0.08483363
2020-10-02,0.08483363
2020-12-18,0.08483363
2021-03-04,0.08737864
2021-06-11,0.09
2021-06-17,0.08737864
2021-10-08,0.08737864
2021-12-21,0.08737864
2022-03-04,0.09
