Date,Dividends
1998-09-28,0.19
1999-01-06,0.19
1999-03-26,0.19
1999-06-28,0.19
1999-09-28,0.19
2000-01-05,0.195
2000-03-29,0.195
2000-06-28,0.195
2000-09-27,0.195
2001-01-03,0.2
2001-03-28,0.2
2001-06-27,0.2
2001-09-26,0.2
2002-01-02,0.205
2002-03-26,0.205
2002-06-19,0.205
2002-09-26,0.205
2002-12-31,0.21
2003-03-26,0.21
2003-06-25,0.21
2003-09-24,0.21
2003-12-31,0.215
2004-03-29,0.215
2004-06-28,0.215
2004-09-28,0.215
2005-01-03,0.22
2005-03-29,0.22
2005-06-28,0.22
2005-09-28,0.22
2006-01-04,0.225
2006-03-29,0.225
2006-06-28,0.225
2006-10-04,0.225
2007-01-03,0.23
2007-04-03,0.23
2007-07-03,0.23
2007-10-03,0.23
2008-01-02,0.2375
2008-04-02,0.2375
2008-07-01,0.2375
2008-10-01,0.2375
2009-01-02,0.24
2009-04-01,0.24
2009-06-30,0.24
2009-09-30,0.24
2010-01-06,0.2425
2010-03-30,0.2425
2010-06-30,0.2425
2010-09-29,0.2425
2011-01-05,0.245
2011-03-30,0.245
2011-06-29,0.245
2011-10-05,0.245
2012-01-04,0.2475
2012-04-03,0.2475
2012-07-03,0.2475
2012-10-03,0.2475
2013-01-02,0.25
2013-04-03,0.25
2013-07-02,0.25
2013-10-02,0.25
2013-12-31,0.2525
2014-04-03,0.2525
2014-07-01,0.2525
2014-10-01,0.2525
2014-12-31,0.255
2015-04-01,0.255
2015-06-30,0.255
2015-09-30,0.255
2015-12-31,0.26
2016-03-31,0.26
2016-06-29,0.26
2016-10-05,0.26
2017-01-04,0.265
2017-03-30,0.265
2017-06-28,0.265
2017-10-05,0.265
2018-01-04,0.27
2018-03-29,0.27
2018-07-05,0.27
2018-10-04,0.27
2019-01-03,0.275
2019-04-03,0.275
2019-07-03,0.275
2019-10-03,0.275
2020-01-02,0.28
2020-04-02,0.28
2020-07-01,0.07
2020-10-01,0.14
2021-01-04,0.14
2021-03-31,0.14
2021-07-01,0.23
2021-09-30,0.23
2022-01-04,0.2375
2022-03-31,0.2375
