Date,Dividends
1985-01-14,0.0291
1985-04-15,0.0291
1985-07-15,0.0291
1985-10-11,0.0291
1986-01-13,0.0291
1986-04-14,0.0291
1986-07-14,0.0291
1986-10-10,0.0291
1987-01-12,0.0291
1987-04-10,0.0291
1987-07-13,0.0333
1987-10-09,0.0333
1988-01-01,0.033333
1988-01-11,0.0333
1988-04-11,0.0333
1988-07-11,0.0333
1988-10-17,0.0333
1989-01-13,0.0333
1989-04-17,0.0333
1989-07-17,0.0333
1989-10-16,0.0333
1990-01-12,0.0333
1990-04-16,0.0366
1990-07-16,0.0366
1990-10-15,0.0366
1991-01-14,0.0366
1991-04-15,0.0366
1991-07-15,0.04
1991-10-11,0.04
1992-01-13,0.04
1992-04-10,0.04
1992-07-13,0.0433
1992-10-09,0.0433
1993-01-11,0.0433
1993-04-12,0.0466
1993-07-12,0.0466
1993-10-08,0.0466
1994-01-14,0.05
1994-04-11,0.05
1994-07-11,0.05
1994-10-17,0.0566
1995-01-13,0.0567
1995-04-17,0.0567
1995-07-19,0.0667
1995-10-18,0.0667
1996-01-17,0.0667
1996-04-17,0.0767
1996-07-17,0.0767
1996-10-16,0.0767
1997-01-15,0.0867
1997-04-16,0.0867
1997-08-06,0.0867
1997-10-29,0.1
1998-01-28,0.12
1998-04-29,0.12
1998-07-29,0.14
1998-10-28,0.14
1999-02-03,0.16
1999-04-28,0.16
1999-07-28,0.16
1999-11-03,0.18
2000-02-02,0.18
2000-05-03,0.18
2000-08-02,0.19
2000-11-01,0.19
2001-01-31,0.19
2001-05-02,0.21
2001-08-01,0.21
2001-10-31,0.21
2002-01-30,0.22
2002-05-01,0.22
2002-07-31,0.22
2002-10-30,0.24
2003-01-29,0.24
2003-04-30,0.24
2003-07-30,0.26
2003-10-29,0.26
2004-01-29,0.26
2004-04-29,0.28
2004-07-29,0.28
2004-11-04,0.28
2005-02-03,0.3
2005-05-05,0.3
2005-08-04,0.3
2005-11-03,0.32
2006-02-02,0.32
2006-05-04,0.32
2006-08-03,0.32
2006-11-02,0.34
2007-02-01,0.34
2007-05-03,0.34
2007-08-02,0.34
2007-11-01,0.34
2008-01-31,0.34
2008-05-01,0.35
2008-07-31,0.35
2008-10-30,0.35
2009-01-29,0.36
2009-04-30,0.35
2009-07-30,0.35
2009-10-29,0.35
2010-02-04,0.36
2010-04-29,0.36
2010-07-29,0.36
2010-11-04,0.36
2011-02-03,0.36
2011-05-05,0.36
2011-08-04,0.36
2011-11-03,0.37
2012-02-02,0.37
2012-05-03,0.37
2012-08-02,0.37
2012-11-01,0.37
2013-01-31,0.37
2013-05-02,0.37
2013-08-01,0.37
2013-10-31,0.38
2014-01-30,0.38
2014-05-01,0.38
2014-07-31,0.38
2014-10-30,0.38
2015-01-29,0.38
2015-04-30,0.38
2015-07-30,0.38
2015-10-29,0.39
2016-02-04,0.39
2016-05-05,0.39
2016-08-04,0.39
2016-11-03,0.39
2017-02-02,0.39
2017-05-04,0.39
2017-08-03,0.39
2017-11-03,0.4
2018-02-02,0.4
2018-05-04,0.4
2018-08-03,0.4
2018-11-02,0.4
2019-02-01,0.4
2019-05-03,0.41
2019-08-02,0.41
2019-11-01,0.41
2020-01-31,0.41
2020-05-01,0.41
2020-07-31,0.41
2020-10-30,0.41
2021-02-05,0.41
2021-04-30,0.41
2021-07-30,0.41
2021-11-05,0.42
2022-02-04,0.42
