Date,Dividends
1984-11-27,0.0089
1985-02-26,0.0089
1985-05-28,0.0095
1985-08-27,0.0095
1985-11-25,0.0095
1986-02-25,0.0095
1986-05-27,0.01
1986-08-26,0.01
1986-11-24,0.01
1987-03-03,0.01
1987-05-26,0.01
1987-08-26,0.01
1987-11-24,0.01
1988-03-01,0.01
1988-05-25,0.0111
1988-08-26,0.0111
1988-11-25,0.0111
1989-02-28,0.0111
1989-05-25,0.0139
1989-08-28,0.0139
1989-11-27,0.0139
1990-02-27,0.0139
1990-05-25,0.0167
1990-08-27,0.0167
1990-11-26,0.0167
1991-02-26,0.0167
1991-05-24,0.0178
1991-08-26,0.0178
1991-11-25,0.0178
1992-03-03,0.0178
1992-05-26,0.02
1992-08-25,0.02
1992-11-23,0.02
1993-03-02,0.02
1993-05-25,0.0222
1993-08-26,0.0222
1993-11-24,0.0222
1994-03-01,0.0222
1994-05-25,0.0222
1994-08-26,0.0222
1994-11-25,0.0223
1995-02-28,0.0223
1995-05-25,0.0234
1995-08-30,0.0234
1995-11-29,0.0234
1996-03-01,0.0234
1996-05-29,0.0245
1996-08-28,0.0245
1996-11-26,0.0245
1997-02-28,0.0245
1997-05-29,0.0256
1997-08-28,0.0267
1997-11-26,0.0267
1998-02-27,0.0267
1998-05-28,0.03
1998-08-28,0.03
1998-11-27,0.03
1999-03-04,0.03
1999-05-27,0.0334
1999-08-30,0.0334
1999-11-29,0.0334
2000-03-02,0.0334
2000-05-30,0.0367
2000-08-30,0.0367
2000-11-29,0.0367
2001-03-01,0.0367
2001-05-30,0.04
2001-08-29,0.04
2001-11-28,0.04
2002-02-28,0.04
2002-05-29,0.0434
2002-08-28,0.0434
2002-11-27,0.0434
2003-02-27,0.0434
2003-05-28,0.0467
2003-08-27,0.0334
2003-11-26,0.05
2004-03-04,0.05
2004-05-27,0.055
2004-08-30,0.055
2004-11-29,0.055
2005-02-14,0.055
2005-05-27,0.07
2005-08-30,0.07
2005-11-29,0.07
2006-02-13,0.07
2006-05-30,0.09
2006-08-30,0.09
2006-11-29,0.09
2007-02-15,0.09
2007-05-30,0.11
2007-08-29,0.11
2007-11-29,0.11
2008-02-14,0.11
2008-05-29,0.14
2008-08-28,0.14
2008-11-26,0.14
2009-02-26,0.14
2009-05-28,0.15
2009-08-28,0.15
2009-11-30,0.15
2010-02-25,0.15
2010-05-27,0.16
2010-08-30,0.16
2010-11-30,0.16
2011-03-10,0.16
2011-05-27,0.16
2011-08-30,0.16
2011-12-01,0.16
2012-03-15,0.16
2012-05-30,0.17
2012-08-29,0.17
2012-11-29,0.17
2012-12-19,0.17
2013-05-29,0.18
2013-08-28,0.18
2013-12-06,0.18
2014-03-13,0.18
2014-05-28,0.19
2014-08-27,0.19
2014-12-05,0.19
2015-03-12,0.19
2015-05-27,0.2
2015-08-26,0.2
2015-12-07,0.2
2016-03-17,0.2
2016-05-25,0.21
2016-08-25,0.21
2016-12-01,0.21
2017-03-16,0.21
2017-05-24,0.22
2017-08-28,0.22
2017-12-01,0.22
2018-03-15,0.22
2018-05-24,0.23
2018-08-28,0.23
2018-11-30,0.23
2019-03-14,0.23
2019-05-30,0.24
2019-08-28,0.24
2019-11-27,0.24
2020-03-19,0.24
2020-05-28,0.24
2020-08-27,0.24
2020-11-27,0.24
2021-03-18,0.24
2021-05-27,0.24
2021-08-26,0.24
2021-11-26,0.24
2022-03-17,0.24
