Date,Dividends
1985-03-04,0.03517037
1985-06-03,0.038696297
1985-08-30,0.13037822
1985-12-02,0.14226711
1986-03-03,0.14226711
1986-06-02,0.14226711
1986-08-29,0.14226711
1986-12-02,0.14226711
1987-03-03,0.14226711
1987-06-01,0.14226711
1987-09-01,0.14226711
1987-12-03,0.15555467
1988-03-04,0.15555467
1988-06-06,0.15555467
1988-09-02,0.15555467
1988-11-25,0.16664444
1989-03-06,0.166722
1989-06-05,0.166722
1989-09-01,0.166722
1989-12-01,0.180016
1990-03-05,0.180016
1990-06-04,0.180016
1990-08-31,0.180016
1990-12-03,0.12893334
1991-03-04,0.12893334
1991-06-03,0.12893334
1991-09-03,0.19331
1991-12-03,0.20670334
1992-03-04,0.20670334
1992-06-09,0.21
1992-09-10,0.21
1992-12-10,0.21
1993-03-11,0.22
1993-06-10,0.22
1993-09-13,0.22
1993-12-10,0.23
1994-03-11,0.23
1994-06-10,0.23
1994-09-12,0.23
1994-12-12,0.23
1995-03-13,0.24
1995-06-14,0.25
1995-09-13,0.25
1995-12-13,0.25
1996-03-13,0.25
1996-06-12,0.26
1996-09-12,0.26
1996-12-12,0.26
1997-03-13,0.26
1997-06-12,0.27
1997-09-12,0.27
1997-12-15,0.27
1998-03-13,0.27
1998-06-12,0.28
1998-09-14,0.28
1998-12-14,0.28
1999-03-12,0.28
1999-06-11,0.2925
1999-09-13,0.2925
1999-12-09,0.2925
2000-03-14,0.2925
2000-06-13,0.3125
2000-09-12,0.3125
2000-12-12,0.3125
2001-03-13,0.3125
2001-06-12,0.3325
2001-09-11,0.3325
2001-09-17,0.333
2001-12-12,0.3325
2002-03-12,0.3325
2002-06-11,0.3525
2002-09-12,0.3525
2002-12-13,0.3525
2003-03-13,0.3525
2003-06-12,0.3725
2003-09-12,0.3725
2003-12-15,0.3725
2004-03-15,0.3725
2004-06-14,0.3925
2004-09-14,0.3925
2004-12-14,0.3925
2005-03-15,0.3925
2005-06-14,0.4025
2005-09-14,0.4025
2005-12-14,0.4025
2006-03-14,0.4025
2006-06-13,0.4125
2006-09-13,0.4125
2006-12-13,0.4125
2007-03-12,0.4125
2007-06-12,0.4225
2007-09-12,0.4225
2007-12-12,0.4225
2008-03-13,0.4225
2008-06-12,0.4325
2008-09-12,0.4325
2008-12-15,0.4325
2009-03-12,0.4325
2009-06-11,0.4325
2009-09-11,0.4325
2009-12-15,0.4325
2010-03-11,0.4325
2010-06-10,0.4325
2010-09-10,0.4325
2010-12-13,0.43375
2011-03-10,0.43375
2011-06-13,0.43375
2011-09-13,0.43375
2011-12-13,0.43375
2012-03-13,0.43375
2012-06-13,0.43375
2012-09-12,0.3
2012-12-12,0.3
2013-03-13,0.3
2013-06-12,0.3
2013-09-12,0.3
2013-12-12,0.3
2014-03-12,0.3
2014-06-12,0.3
2014-09-11,0.3
2014-12-11,0.3
2015-03-12,0.3
2015-06-11,0.3
2015-09-11,0.3
2015-12-18,0.3
2016-03-11,0.3
2016-06-13,0.3
2016-09-13,0.3
2016-12-19,0.3
2017-03-13,0.3
2017-06-13,0.3
2017-09-14,0.3
2017-12-19,0.3
2018-03-14,0.3
2018-06-14,0.3
2018-09-13,0.3
2018-12-19,0.3
2019-03-14,0.3
2019-06-13,0.3
2019-09-13,0.3
2019-12-20,0.3
2020-03-16,0.3
2020-06-19,0.3
2020-09-18,0.3
2020-12-22,0.3
2021-03-19,0.3
2021-06-22,0.3
2021-09-21,0.17
2021-12-21,0.17
2022-03-22,0.17
